x0,x1,x2,x3,x4,x5,x6,x7,y
-212,876,534,1163,-260,196,-1322,1785,-1
-1220,1286,1286,1357,-578,884,-658,466,-1
-189,810,-864,1252,-622,1262,-171,-1190,-1
-332,181,-169,-1579,209,1626,286,783,-1
-1603,-493,-694,-1717,-428,422,-602,1307,-1
-1798,2079,-314,1182,311,1106,-424,-120,-1
-638,-412,-902,514,1314,621,345,624,-1
-111,826,122,789,-1013,-2121,-384,-1488,-1
1699,-562,-142,-1327,488,-1081,1004,-507,-1
-1810,-1567,-876,-625,789,649,830,1486,-1
-662,-1193,-965,-1605,286,408,1711,-848,-1
-1568,83,282,540,873,-1075,-102,1476,-1
1464,371,1561,-1765,198,-629,-898,-309,-1
1755,-1402,895,440,147,-32,-1911,389,-1
-60,-47,-89,-14,-546,-1736,-368,1070,-1
318,927,414,-1964,1847,-883,233,299,-1
574,245,-1718,-1059,-1342,2687,-1525,-368,-1
-899,-1191,1853,-905,1865,-364,119,-361,-1
522,-289,-46,-221,1461,-1205,-220,-541,-1
1773,1750,-875,-2085,-341,263,361,776,-1
1302,-1232,-126,1241,692,-62,-204,-209,-1
1508,-651,-1026,949,378,-807,971,361,-1
553,-770,-827,-64,-660,85,-57,598,-1
1106,-22,-1034,509,-1583,-870,-1353,355,-1
-548,746,-2634,306,-866,123,908,668,-1
-138,-443,661,1945,500,-1752,1028,-574,-1
-471,-1674,-1822,311,555,219,693,44,-1
44,10,-1536,-1386,333,-463,1250,1163,-1
1254,1994,-21,-1510,2008,1098,67,-886,-1
-186,-1674,-829,287,-1284,-1627,63,-612,-1
404,-2328,207,1779,-271,-1125,-332,19,-1
-601,-29,192,511,-100,-770,-2175,1126,-1
262,-426,240,-568,924,-484,607,-781,-1
-38,806,-480,993,-346,655,-12,-138,-1
497,-776,-1065,-344,-39,1402,676,-951,-1
689,-652,847,85,794,6,351,-1314,-1
-224,1509,-48,106,-782,-2119,-319,-461,-1
495,672,-75,814,288,189,2119,-1682,-1
2696,1956,-1623,228,-820,144,-1146,267,-1
-615,1348,45,2163,651,589,-371,655,-1
2032,446,97,1445,-492,791,-1473,889,-1
-170,1667,-1239,-1042,-1749,-207,-636,287,-1
630,655,467,-1917,590,-713,226,115,-1
-2289,-392,-33,161,38,-276,-583,170,-1
1812,268,331,-255,-1003,410,-538,427,-1
-1169,1246,94,906,-188,1963,39,-1068,-1
-1483,91,-1351,134,-255,95,1376,287,-1
784,38,-164,590,13,-791,-326,420,-1
-1545,-315,-133,1193,1054,-76,-587,341,-1
295,1300,-1218,1293,68,706,-386,816,-1
2160,764,-1000,283,-303,-1903,397,599,-1
2400,-890,-1842,1469,1271,414,1759,1616,+1
-307,-89,1929,-1923,837,484,-1051,1290,+1
280,975,-42,-1123,16,-604,-1024,-597,+1
-473,178,1061,1229,-857,208,1042,1556,+1
109,-1068,1542,195,-256,1167,-290,1502,+1
-687,480,609,-51,-1748,-329,910,-137,+1
-812,-1288,-580,-602,1460,712,909,2464,+1
-1026,492,-1990,-458,712,592,-255,-583,+1
-254,-364,-799,841,1720,1016,-429,-34,+1
347,-1483,-1190,-53,-736,1833,933,815,+1
-267,-453,1106,6,-279,-71,74,1607,+1
981,-1345,-1288,-811,2021,360,382,557,+1
-1320,401,-464,282,1,-1019,-1206,-933,+1
752,581,-498,609,1119,-446,532,-1191,+1
-216,-287,219,-391,-462,1594,944,-1415,+1
1675,-2381,-828,-165,-2364,547,-440,1692,+1
198,-1707,1087,350,-776,342,1376,-379,+1
-721,-734,752,-702,-567,-1760,1869,-365,+1
-496,1433,-1364,-1946,-313,-2394,-666,-183,+1
-1311,1244,-376,-466,176,-1332,-1358,-1732,+1
523,-411,-1255,1890,607,-920,-316,-700,+1
1220,44,1593,-1476,-364,-851,364,1040,+1
462,12,889,-518,-1454,-724,673,185,+1
-749,1630,702,1372,266,-1289,-140,1702,+1
-1634,-179,-424,-375,-270,-2021,-1900,-1427,+1
417,-88,1921,301,-1702,296,2439,1560,+1
-1699,772,-1516,-2453,1711,-179,1233,-584,+1
-26,413,487,-1176,-2076,1310,355,921,+1
500,1085,-1616,-93,466,133,-265,-620,+1
544,661,949,1140,-920,-2127,149,185,+1
-445,1105,-697,-301,747,246,74,-330,+1
1758,-349,1345,-45,-819,136,1249,-911,+1
-329,-879,-1295,190,1299,-218,-939,-276,+1
260,440,194,-318,-2189,112,237,126,+1
-300,-1431,-2288,1147,-895,925,-848,-1227,+1
-171,-1008,-290,1088,-1246,237,-428,1340,+1
147,-2234,1058,41,-633,-3070,957,923,+1
1349,50,109,457,-46,314,-229,677,+1
-650,825,-298,-335,-26,919,2219,-58,+1
-393,-1078,-1272,-904,297,-1006,-1078,892,+1
-2022,54,548,-1350,-49,-2063,-704,-659,+1
1295,955,1388,227,-1970,70,575,1419,+1
-1375,-586,727,439,20,482,1243,11,+1
-208,-774,-1029,-263,1117,-651,-956,1195,+1
-218,357,406,684,274,183,1793,674,+1
-371,24,1798,503,1178,-898,-44,1348,+1
-167,1283,1809,-7,1235,-481,1170,-813,+1
-382,-870,-423,-1975,829,478,-1005,-363,+1
63,-732,-1887,298,1548,332,185,408,+1
