x0,x1,x2,x3,y
294,-1604,1286,-43,-1
-997,315,729,2297,-1
-1547,597,-1366,1104,-1
625,-577,979,195,-1
241,-387,-1984,1252,-1
-889,76,-648,525,-1
-1104,-314,840,-2392,-1
1509,170,-1186,1448,-1
-1173,-902,193,2048,-1
-114,-436,107,1699,-1
-888,633,-301,562,-1
1277,266,-92,1020,-1
-310,113,1474,68,-1
791,-547,-312,1207,-1
658,-88,1215,-1721,-1
-810,-549,-2315,1860,-1
557,-1228,1490,914,-1
-1884,630,-966,-21,-1
1407,363,-303,796,-1
-394,454,-736,172,-1
-1125,-463,307,2445,-1
373,-1438,279,-105,-1
1286,592,-807,1721,-1
-1787,311,-2036,-972,-1
-141,-226,-1240,184,-1
827,398,842,-1485,-1
647,1371,-278,1480,-1
314,1550,-918,1647,-1
1741,-810,-870,985,-1
-1283,-1395,865,-967,-1
791,-1380,320,147,-1
-829,693,-32,1598,-1
-381,315,140,1697,-1
156,-1568,570,73,-1
155,-2254,191,500,-1
-76,518,-806,779,-1
85,538,605,1488,-1
-912,-1807,368,-643,-1
1340,1216,1084,2137,-1
1616,2187,2592,-235,-1
-8,147,-891,303,-1
-901,-25,1035,-206,-1
727,932,-667,190,-1
-893,-1617,-1570,-2218,-1
217,-441,308,-2069,-1
-1164,-1628,718,-1033,-1
-134,-687,-123,-2514,-1
-2063,262,-483,220,-1
-1602,-2405,1547,-1812,-1
1927,248,-659,1008,-1
-506,1494,417,-1399,+1
-442,1274,804,-662,+1
-767,1126,854,-653,+1
889,-276,333,1027,+1
1118,-496,-471,-863,+1
662,-1077,-1848,-781,+1
-367,1407,1117,787,+1
104,-55,2248,1361,+1
-36,526,383,127,+1
1280,-1094,-712,-165,+1
-288,-442,-847,388,+1
2420,-731,237,695,+1
-269,-240,-424,591,+1
-474,-101,-492,151,+1
-154,-441,218,534,+1
-476,-1259,108,504,+1
-412,-231,-589,-1122,+1
702,-61,18,1108,+1
-1072,-336,650,1260,+1
-404,-973,394,788,+1
1564,1520,766,227,+1
1340,176,-203,-864,+1
-209,-583,-472,877,+1
-650,-127,-882,-1343,+1
171,1319,-309,-662,+1
-1960,705,1200,1532,+1
-1316,-581,-572,-895,+1
-397,250,1329,1252,+1
-560,-1094,-1354,-936,+1
1630,-1168,-903,-551,+1
-930,-618,-1007,-111,+1
870,358,-502,39,+1
-322,358,928,1459,+1
-1122,1547,876,261,+1
923,192,236,-808,+1
-1000,848,1476,534,+1
-524,-3,-361,-340,+1
-152,147,-510,-1412,+1
-869,-464,-431,54,+1
-1020,-444,-1040,81,+1
-1336,320,-492,-131,+1
115,-422,-353,-1047,+1
-1154,129,413,-532,+1
398,-506,-899,-1399,+1
-105,86,859,554,+1
322,-2161,67,886,+1
-1731,0,-744,61,+1
-676,20,39,215,+1
42,-1151,-38,245,+1
-1883,-966,-298,-749,+1
