x0,x1,x2,x3,x4,x5,y
866,32,-1395,-431,1689,24,-1
1967,-1442,67,-1351,-1546,-646,-1
-2561,-321,36,-1422,1581,-514,-1
196,775,-2470,271,1641,807,-1
149,90,-796,524,393,-1634,-1
1328,-78,-972,-2026,1517,2745,-1
124,-2100,-3,-329,391,-267,-1
-521,-88,-1324,-1993,325,-49,-1
-606,310,-885,-414,885,39,-1
321,-552,1015,-571,-297,256,-1
1139,31,-907,-702,2256,114,-1
-297,-904,692,219,719,1291,-1
-542,-194,724,543,1395,819,-1
237,-1245,130,1245,670,-1870,-1
369,541,-172,-886,368,-148,-1
-886,-1304,-480,-314,584,-72,-1
-1231,-335,686,-1174,1199,1915,-1
-586,-1060,-1259,-2203,-157,-301,-1
371,-1831,543,-174,1051,87,-1
-150,-791,-850,-906,-262,581,-1
2128,592,256,-1648,-475,-410,-1
1562,-830,-2893,-578,1038,-1349,-1
1595,-1092,331,-1711,474,933,-1
1055,-1522,-872,547,535,-15,-1
-271,-137,-971,-2815,-777,-343,-1
-167,-1422,444,-278,-554,-301,-1
1233,-1038,52,-410,-132,-26,-1
231,6,46,-166,1544,466,-1
-59,-1262,1372,-1750,1177,-651,-1
-710,-500,-902,1134,823,-993,-1
-1103,-1356,-631,-157,1052,1285,-1
239,-1315,764,1010,820,1299,-1
-655,-1367,1030,802,1276,-1088,-1
-842,-693,288,-844,689,-29,-1
1176,-2294,-278,456,657,-49,-1
979,-2174,-736,631,-764,3057,-1
281,-1009,420,1399,-827,-385,-1
-675,-188,-1987,-1347,1069,-227,-1
3763,-1655,1324,1131,155,-358,-1
1458,287,-1154,-2015,270,-734,-1
-229,-1500,-859,-1572,-113,-951,-1
1320,40,3100,-2050,686,168,-1
-2820,-315,-1848,-404,1277,-885,-1
862,-1110,-619,-1422,-382,-1280,-1
-2188,-115,-652,379,753,-905,-1
2130,-660,-1545,-91,-475,-200,-1
974,863,-944,1677,2015,-1040,-1
-380,-474,220,-3385,-1490,43,-1
-309,732,-660,626,1563,-310,-1
-1216,-1081,-1086,1141,951,443,-1
296,-699,249,2097,-417,-749,+1
240,-514,349,99,-1352,1183,+1
-539,609,684,-1130,-1135,-630,+1
-655,495,-1085,621,1196,1406,+1
779,1651,-239,685,-1198,-152,+1
519,1952,-997,364,1422,-1346,+1
-791,-904,-1046,1208,-732,-209,+1
133,-393,-56,-132,-576,1276,+1
-769,-73,673,1054,-1040,-626,+1
1216,-352,-1283,-625,-1192,164,+1
514,1406,-1392,-462,-2177,1836,+1
-182,1706,79,356,2099,-101,+1
-799,449,1492,284,-995,706,+1
243,2484,576,1814,776,1193,+1
-331,1247,121,378,-997,364,+1
-441,-206,1407,-75,-298,505,+1
-54,951,325,-865,-25,-1673,+1
-1046,432,-650,656,1710,1828,+1
-2173,-1242,-508,-15,-2324,457,+1
1352,129,2010,618,-1006,-1427,+1
-1659,-817,189,-1714,-1605,1121,+1
-842,-41,-1572,1157,60,-186,+1
90,528,-366,690,-1276,872,+1
767,311,374,1549,-1506,-410,+1
33,-120,-33,189,-1042,-909,+1
2093,536,-1846,-739,-1096,465,+1
-740,1113,-946,-2569,-31,-1494,+1
-222,1295,-246,96,-322,277,+1
178,-527,-701,532,-1974,-424,+1
-1864,142,1432,985,386,953,+1
-913,261,-599,1142,912,-273,+1
-876,-43,-48,632,319,1210,+1
-606,-47,245,14,-480,215,+1
-512,107,-824,1163,324,-874,+1
938,451,279,29,-726,100,+1
-377,-488,183,-1021,-990,1506,+1
-186,2017,1181,202,-234,2465,+1
-234,536,13,420,-575,63,+1
-662,4,-462,669,-169,186,+1
-1240,525,476,1090,303,-751,+1
105,372,766,354,-1775,292,+1
334,-425,-1528,-315,-1594,-1120,+1
-469,367,-366,-263,-1364,-1393,+1
-1806,-546,397,1179,460,411,+1
711,-644,2783,206,-321,1990,+1
-1386,1571,-182,721,95,1660,+1
-1177,263,86,117,-211,-136,+1
-246,547,-500,-412,-383,-745,+1
-1625,-165,561,367,1007,2266,+1
957,980,-152,-798,819,574,+1
