x0,x1,x2,x3,x4,x5,y
222,1175,-875,537,-191,2426,-1
969,670,-447,-1285,245,-1014,-1
-1040,-242,-1657,-1891,170,163,-1
-910,-1675,406,-826,661,2523,-1
937,512,-1093,-391,89,1276,-1
859,-1586,-162,1357,1825,2303,-1
-1081,693,753,-200,1192,-305,-1
-8,-603,-1175,2720,299,146,-1
315,533,-27,-594,-255,629,-1
766,-1483,-422,-748,-2689,928,-1
-776,2017,17,-719,-170,658,-1
538,-1458,-65,104,2624,-333,-1
180,517,-2388,181,-726,-899,-1
-377,139,-769,-1945,9,378,-1
456,741,713,-1188,170,687,-1
871,795,956,876,2059,1606,-1
2640,-2732,-165,-660,-663,567,-1
-272,3185,716,-214,1246,1070,-1
113,-220,-1130,25,450,412,-1
-979,430,-2339,916,-787,-354,-1
1511,-1190,288,-1093,574,-848,-1
321,-1481,152,1185,899,-1867,-1
1056,875,496,-1090,481,558,-1
367,1148,-1144,949,736,41,-1
370,248,-2154,1358,-1360,466,-1
2983,-1204,255,-1135,145,-425,-1
1425,318,-584,-211,-119,383,-1
-1234,529,-910,1064,2074,-762,-1
1075,-796,69,-65,254,-696,-1
578,664,1294,-625,1535,50,-1
2592,126,-58,3767,-1348,490,-1
-1252,-40,769,81,2015,-197,-1
2006,164,-1441,616,-2161,653,-1
-22,1482,1167,-74,852,1769,-1
-2073,1240,-1218,-1144,369,110,-1
-363,-307,1365,-882,1516,1358,-1
-336,1296,-1858,1144,382,1409,-1
834,1151,1247,-486,965,-415,-1
1191,559,87,-567,605,-321,-1
768,-184,-1548,-1068,-84,-1509,-1
1079,1461,1510,2250,-91,1803,-1
918,-420,-843,443,1254,465,-1
-465,649,-1070,-796,1668,-1556,-1
28,-760,-910,-1765,-1025,806,-1
-337,-187,-1727,-1466,-2086,-539,-1
1423,-986,7,217,849,2601,-1
-1552,-109,-933,-853,2020,349,-1
798,-799,1916,2807,-387,2022,+1
1842,174,1205,1042,-1716,488,+1
-1341,789,304,-929,-1004,900,+1
-55,662,1758,-491,710,-291,+1
621,-160,-142,17,348,963,+1
926,-6,-221,356,-645,741,+1
-408,-973,446,552,-112,-222,+1
-1395,146,-497,-72,-490,167,+1
12,129,265,1083,331,165,+1
57,169,878,-258,1205,-808,+1
-941,-890,1282,1518,-1628,-29,+1
-447,-971,-351,-614,92,1648,+1
1325,676,1385,255,687,433,+1
65,269,-341,231,-605,1646,+1
-759,-261,798,2187,-527,1982,+1
250,-475,3,1229,-474,114,+1
-1287,1339,1073,-543,243,-640,+1
924,-982,488,697,-681,2159,+1
250,-818,1595,-5,-340,-1217,+1
28,-2179,-612,-1198,-1879,-832,+1
285,-154,-570,-803,-735,-158,+1
-873,-442,456,-1356,-626,-1644,+1
-2,-2164,620,-1044,-197,1291,+1
844,-1476,1276,291,-1212,-113,+1
-814,-327,344,699,677,301,+1
682,-1805,282,-300,-1917,364,+1
-889,-426,-496,-160,-403,804,+1
34,478,-663,-402,108,143,+1
160,-1434,474,686,957,1157,+1
-972,998,244,-315,65,777,+1
-576,-1229,-1001,-758,331,-764,+1
301,344,43,582,779,395,+1
-448,-887,-1128,367,-174,51,+1
-711,950,-351,-268,-110,908,+1
270,-1970,496,1032,32,1139,+1
816,342,-148,-1139,-2167,640,+1
578,-1074,-475,1432,-248,608,+1
1119,-1193,69,506,-579,534,+1
407,-1291,611,1446,-1225,-808,+1
-338,-918,65,1736,-16,-1688,+1
-1057,889,933,-191,-375,-723,+1
-794,840,1389,724,777,-1007,+1
-45,429,1498,-1066,-1200,-1095,+1
419,47,194,-187,-2010,715,+1
-741,-331,562,-233,-1413,1450,+1
221,170,1216,-574,-407,763,+1
58,-741,-392,1046,725,38,+1
1637,-572,517,363,-716,-124,+1
419,648,1906,552,-1430,119,+1
-665,-1032,1488,-168,-330,-978,+1
-15,64,-696,-198,-243,477,+1
-1409,-729,-634,-118,-847,753,+1
-129,-1060,2778,-835,-511,1404,+1
