x0,x1,x2,x3,x4,x5,y
-825,1122,-1440,790,80,229,-1
-775,-158,-1324,-386,874,552,-1
-784,-740,755,1702,318,-1390,-1
-2563,-548,-853,936,-1047,-333,-1
-1255,-637,-80,1990,-350,1752,-1
-952,227,-188,196,719,93,-1
-2605,-348,55,-247,-915,-134,-1
-1554,-1136,1906,644,549,588,-1
-1220,-1328,-688,-344,-90,955,-1
-1792,305,-1049,1193,1006,776,-1
1625,557,-390,-544,-827,106,-1
-720,-934,741,364,-1670,207,-1
519,-744,-613,936,-286,-1021,-1
-701,573,-3083,332,98,-1006,-1
-1327,-137,-1191,-1056,-601,315,-1
1738,96,-1059,120,409,1562,-1
1171,-646,630,21,-1263,275,-1
-182,-412,545,-499,-121,435,-1
210,146,3,1178,-955,485,-1
-711,834,570,-480,422,1864,-1
557,1164,-893,477,-747,574,-1
256,-1501,693,-541,129,384,-1
-574,-996,1972,-654,490,1739,-1
-464,302,-242,530,16,-166,-1
-1291,-1083,320,-119,-416,918,-1
-598,-2486,-1792,122,984,1233,-1
1923,-132,124,194,-573,301,-1
421,-1471,-1228,58,-647,-218,-1
713,-149,588,-4,855,1143,-1
1925,-631,-501,1847,23,-908,-1
-211,-394,-378,1714,-576,2769,-1
-1001,-365,870,239,199,-38,-1
237,-1284,-31,168,-1884,-1380,-1
-1732,-152,542,1240,-1196,1057,-1
-278,-409,803,-436,535,1311,-1
-2267,-755,-1384,835,204,-500,-1
623,1507,312,-863,-403,1873,-1
1929,-1584,657,904,186,1991,-1
1828,-219,-730,651,-644,-835,-1
1234,-918,70,-1037,298,295,-1
2466,-112,-352,2160,-1355,-2293,-1
277,623,1144,976,-409,-18,-1
769,-1895,782,-1075,239,1639,-1
342,-473,-1526,-198,-992,1119,-1
-102,-19,-124,813,-230,686,-1
394,1078,-1286,2137,-421,993,-1
56,-360,-373,681,-201,705,-1
562,442,-556,1141,247,-131,-1
1000,-1558,498,-105,-227,-59,-1
190,14,1394,-1604,-130,2300,-1
-759,-1585,522,282,-813,-1084,-1
115,-605,681,1338,79,-616,-1
446,-715,-496,197,-1539,888,-1
-457,222,753,303,679,-568,+1
286,530,1625,378,743,-415,+1
597,-513,1469,59,662,207,+1
-698,-1076,287,14,503,-938,+1
471,911,-1375,-87,734,2,+1
581,497,23,-1620,1637,711,+1
-3022,-160,883,-564,-501,-1210,+1
-363,-333,30,-1316,-1488,-240,+1
817,-958,1115,-1947,-1062,907,+1
-593,851,93,403,-371,-907,+1
-2202,1895,-951,-1294,1631,562,+1
-298,180,505,-181,865,-847,+1
1099,1168,128,-360,694,428,+1
77,-221,-488,-1039,-976,-2205,+1
422,-53,646,-1134,591,-551,+1
-711,-14,509,-537,-738,-624,+1
590,-643,1858,-858,1298,98,+1
483,656,226,670,-503,-926,+1
1115,229,-1723,-1730,1927,467,+1
-479,797,-217,-285,2353,-704,+1
-368,404,638,-1722,183,-101,+1
-413,892,209,-1164,413,-472,+1
1408,33,953,144,1416,198,+1
327,-945,1711,-293,-156,299,+1
-774,-301,-12,-1136,2242,1580,+1
-2060,-47,469,351,370,226,+1
408,528,-1876,72,370,-1031,+1
104,333,1903,-1391,1824,869,+1
512,-296,1194,-1300,1011,1331,+1
-596,-332,-927,-871,-589,-1898,+1
-2804,1360,-630,686,-986,-875,+1
939,-65,1113,462,-682,-396,+1
-2742,1417,421,-323,-437,411,+1
-1909,588,1165,511,569,-539,+1
1640,562,1959,-1001,-787,732,+1
-302,-378,-1593,-1006,1072,-1255,+1
488,682,1203,-4,-59,-1247,+1
-706,-184,1157,-587,450,-126,+1
-709,-594,415,-354,512,377,+1
139,1819,204,-921,623,815,+1
-656,487,-828,-347,205,-105,+1
-666,-1009,34,391,344,-1140,+1
-2021,-440,866,-669,238,826,+1
132,1992,1281,-236,645,929,+1
2061,342,1701,-716,282,-498,+1
-304,1714,-460,-245,-741,-99,+1
-516,-473,359,-542,-1707,-1325,+1
