x0,x1,y
188,-3,-1
298,434,-1
1051,1519,-1
1254,-726,-1
-9,2250,-1
734,-288,-1
342,1205,-1
1078,-413,-1
2144,-114,-1
682,712,-1
1306,733,-1
2614,787,-1
1515,-203,-1
506,-105,-1
1844,-259,-1
643,-2219,-1
401,353,-1
458,694,-1
2368,-426,-1
-20,2113,-1
-187,1103,-1
1303,-716,-1
572,743,-1
675,858,-1
1461,376,-1
298,1191,-1
921,320,-1
1328,817,-1
-453,899,-1
-356,580,-1
397,789,-1
1329,-1631,-1
761,698,-1
2047,615,-1
1892,314,-1
1793,516,-1
1089,636,-1
-179,898,-1
1423,-1190,-1
1547,-572,-1
1803,-364,-1
519,-198,-1
610,-1669,-1
559,580,-1
304,713,-1
1105,974,-1
-180,1962,-1
372,-761,-1
312,1290,-1
349,-488,-1
-203,-481,+1
-811,-579,+1
-1409,-1123,+1
-412,-2030,+1
-1399,-395,+1
-650,-294,+1
672,-1524,+1
-857,52,+1
-927,314,+1
-55,-112,+1
-262,140,+1
-760,-105,+1
-185,-1165,+1
-379,649,+1
175,-1388,+1
-1944,-431,+1
12,-272,+1
-18,-1649,+1
-711,1071,+1
-1186,1274,+1
-759,-490,+1
-838,-468,+1
291,-331,+1
-1508,297,+1
-424,-447,+1
-61,-1224,+1
-737,929,+1
124,-711,+1
-626,-1669,+1
-1258,-193,+1
293,388,+1
135,9,+1
-708,177,+1
-1350,710,+1
-276,-376,+1
-1230,78,+1
-43,-1817,+1
-310,-1949,+1
-972,247,+1
-2166,-1788,+1
-680,300,+1
-628,736,+1
-588,1334,+1
-202,-586,+1
-616,-59,+1
-1015,-759,+1
115,-355,+1
-1816,-96,+1
108,-367,+1
-532,507,+1
