x0,x1,x2,x3,x4,x5,y
-626,-703,68,104,163,-934,-1
713,-397,-222,552,692,-775,-1
-1847,222,763,1052,-417,-524,-1
-489,715,1599,1159,1619,261,-1
-1223,851,1564,-1242,1343,304,-1
-2257,-377,486,-203,508,-1510,-1
2490,992,-516,-2034,-303,-216,-1
-1173,2070,-750,284,-310,-388,-1
319,1047,410,-490,1495,549,-1
-257,1437,1401,-1453,285,596,-1
-390,-56,213,39,646,-583,-1
838,-1202,-1997,-314,833,-229,-1
765,1132,-111,-54,1195,-2496,-1
293,817,-1405,1162,637,783,-1
-3202,-247,379,-2325,227,-378,-1
-777,1718,-940,-289,980,-1271,-1
-244,1078,-804,-421,-870,-1368,-1
-1679,-746,-583,13,21,-846,-1
-997,2,137,-66,701,-768,-1
-1665,-157,-632,-842,-444,-580,-1
-199,-162,-2168,-2223,1154,631,-1
-1669,-39,1086,-50,1211,-208,-1
-2355,564,1405,1135,1179,-1732,-1
-119,1830,-1196,417,-1272,127,-1
-1523,862,1748,638,92,-201,-1
-903,1703,-527,768,245,1311,-1
297,-192,-1223,1098,-831,-1151,-1
-375,1251,-1299,925,-144,16,-1
-46,2297,-249,399,-52,-1172,-1
-232,177,36,151,550,-969,-1
458,707,305,715,-485,-2104,-1
-30,1056,684,1604,948,351,-1
-322,-93,-1575,-129,-1058,-491,-1
26,-69,-3367,1184,-1713,-569,-1
513,-578,-669,-1003,1016,942,-1
1214,3277,-1834,483,-1246,831,-1
-3177,3366,-2430,2203,143,-1457,-1
-1530,528,-348,1870,-1369,733,-1
657,1627,-278,595,-1067,152,-1
-516,1489,-1224,1058,989,-977,-1
-832,1310,1453,369,-1005,-1074,-1
-762,996,-190,1189,-140,-191,-1
-456,1051,272,-1520,1571,-1059,-1
409,469,-685,934,-12,-506,-1
-136,38,1379,-668,1412,541,-1
-1967,371,-1478,-282,-515,-1063,-1
-484,1110,85,997,1824,-707,-1
-1857,-319,-198,-525,864,-1490,-1
413,2531,1445,1,-1129,691,-1
-691,-243,-479,-418,923,587,-1
356,301,-937,55,-765,699,-1
2024,1444,-768,-159,-96,-3319,-1
1273,1175,-218,159,-1775,-262,-1
1226,65,-266,-608,-924,591,+1
-798,-1293,1098,-633,-565,1138,+1
-436,21,-9,-768,175,1557,+1
-917,-888,-527,496,55,905,+1
920,-2050,1054,-937,2438,-1236,+1
251,44,1603,-490,596,1289,+1
839,-175,295,553,-583,-1286,+1
-641,-1182,130,300,749,2023,+1
-1506,363,2767,-614,1216,1273,+1
455,-1045,-256,2461,-497,334,+1
2310,653,546,1619,-1273,288,+1
1021,-37,-112,1240,1181,478,+1
-2,-62,2830,1029,443,-386,+1
2662,-1093,1304,-2257,157,1158,+1
699,-301,260,-1336,-1347,-241,+1
-62,-701,1344,-668,1516,418,+1
2,-1059,115,-338,692,764,+1
-1865,-1277,-298,736,-935,946,+1
1556,-451,-1,846,-1459,596,+1
125,-2304,-2023,776,14,436,+1
724,18,-58,-106,-171,-258,+1
-139,-812,-1165,448,-798,747,+1
-593,-926,217,1872,523,672,+1
1670,-246,536,272,-2213,-1729,+1
943,663,1289,276,-2330,-278,+1
1134,120,-485,-1328,-795,102,+1
607,-1274,112,1479,1362,-1790,+1
-145,629,2521,-1791,-1121,-28,+1
4,-825,646,-142,776,442,+1
645,99,-375,-2182,284,591,+1
274,458,777,-576,-51,699,+1
1866,-599,-887,-1780,38,812,+1
-373,-1798,-33,92,1732,-74,+1
96,927,-1315,2295,-1145,1629,+1
301,-1155,525,541,-405,130,+1
412,-328,1242,-536,-72,-862,+1
-1029,341,1308,626,-345,-67,+1
-1154,-2004,319,-332,-228,484,+1
35,-524,-98,541,-886,1471,+1
1264,943,2244,-423,-1117,216,+1
1072,-576,1359,474,542,1311,+1
1515,-552,-66,-178,-522,-211,+1
1255,384,261,-38,-795,1103,+1
-741,-1604,293,-1051,-50,-9,+1
-2697,-920,-1616,62,-323,570,+1
1253,-357,650,1959,-1845,-359,+1
1779,322,-1111,686,-1950,781,+1
