x0,x1,x2,x3,x4,x5,x6,x7,y
85,786,-873,265,926,-1518,1143,-223,-1
290,-921,134,395,-1180,792,-243,-651,-1
-1057,1113,-687,-249,255,1082,-362,716,-1
-36,-123,-429,568,-2676,-824,-894,-142,-1
529,-634,-1073,-1117,366,-1146,-145,-1045,-1
-159,-401,602,-107,-443,-305,-430,1568,-1
-1278,1342,-1529,-235,594,-991,-1060,382,-1
-1367,-581,849,776,-122,2261,1028,-1650,-1
-1348,959,1590,731,-418,-53,726,-776,-1
-729,-1017,1365,-538,-185,-1857,715,-1352,-1
104,-103,-426,151,286,224,-1002,1519,-1
1924,705,-1743,-1238,403,722,64,1061,-1
-305,430,-171,631,-1815,-136,-1751,1008,-1
118,-440,-551,-478,1414,-753,-240,210,-1
-1179,1494,-663,-464,-31,273,-441,-1500,-1
-629,677,-1648,353,1651,304,269,971,-1
257,41,913,367,404,1032,-1515,1793,-1
441,-619,409,-565,1740,347,1754,27,-1
-385,1091,-1246,-429,114,-800,-1694,-232,-1
-208,-875,-430,-495,-415,-211,-1210,-28,-1
78,-404,1489,-502,-456,-330,1334,427,-1
120,-764,2187,1973,-52,1069,748,98,-1
-253,1005,609,127,-197,2129,543,1254,-1
1256,120,-1149,484,1334,-1241,-602,1524,-1
-1017,718,-1233,693,251,-66,296,-639,-1
-955,-698,298,-1881,452,985,47,265,-1
-566,-967,249,1398,-990,1945,-1037,-907,-1
542,406,-366,-1211,-210,-1780,2221,-735,-1
-744,-712,1557,-2130,-1114,-426,-236,298,-1
-140,19,-181,805,-578,-1211,739,331,-1
-1547,288,772,-1025,-261,2381,-1975,630,-1
1920,-618,-622,2260,515,-990,950,-311,-1
-1048,554,1555,-1339,116,148,-858,-248,-1
-1243,1795,1958,652,-306,111,276,-796,-1
-420,-454,-1606,1520,919,1063,630,-541,-1
-586,-38,3026,587,184,1530,145,1186,-1
743,-839,-220,841,67,1790,582,-850,-1
-1112,-563,-1276,-1108,-196,-2084,-1503,-305,-1
-631,237,1099,-126,-589,-1023,88,-98,-1
-335,357,-147,-177,-450,1907,-126,-1081,-1
414,1868,1116,1163,-217,1182,-45,6,-1
-1665,2392,907,-1513,764,-122,990,242,-1
1118,-2464,-685,-178,-1570,267,1376,-1161,-1
-430,443,-211,1223,-186,1633,-942,84,-1
997,218,-2458,785,-670,-423,-296,829,-1
-332,29,-493,-1745,1120,-150,559,-771,-1
1639,658,126,520,35,170,-67,682,-1
160,-519,-229,1118,704,569,1208,9,-1
-705,548,1089,-94,1186,-1078,1902,-992,-1
883,1339,-574,242,824,623,-436,2420,-1
-1342,-1661,1068,-763,73,-350,-113,-1353,-1
172,-58,-441,562,97,524,-1227,339,-1
-189,-1484,992,-428,-1172,-976,-606,-1595,-1
1216,2391,1382,89,-319,-1076,3,-1658,+1
-608,311,-673,-907,-2529,-236,-80,533,+1
116,-3358,726,1820,824,224,1675,166,+1
-1487,-306,-1829,620,115,559,-22,1594,+1
-440,-390,1859,2164,-14,-720,-38,2339,+1
626,-466,758,-224,-510,1097,-1482,-104,+1
-1195,-1920,1396,-400,-1098,52,2310,36,+1
-191,-589,1146,600,586,-1183,-2356,-359,+1
749,375,-17,1138,-516,-1100,-168,-2056,+1
-325,452,1380,1261,1507,-1002,-20,-1153,+1
303,1657,111,160,-325,662,-1954,-1868,+1
-3002,614,1976,-43,-1586,-901,624,-547,+1
-576,-193,1492,-970,-259,827,-868,-1749,+1
-1265,821,2168,-51,-748,1619,782,3,+1
1395,1251,-372,-383,2996,2087,-235,263,+1
339,2249,-543,249,1258,1995,-974,1192,+1
-1602,-425,-2635,912,819,403,112,1213,+1
241,-216,-1892,602,-1850,254,703,-792,+1
-606,-70,978,602,-1035,-164,362,1384,+1
857,-830,3011,-1054,-280,-1107,-1212,-1546,+1
346,-1030,-1031,207,2690,416,-2130,-944,+1
889,1298,-913,-507,-1848,-770,711,1504,+1
-6,-327,1826,-188,789,-501,-1861,513,+1
-355,512,-774,191,-861,423,765,415,+1
871,861,1102,-735,1347,-659,-524,567,+1
511,156,982,-163,-1015,-1179,-782,-1315,+1
-1999,-1511,122,53,1372,-213,-803,1510,+1
-577,-588,1263,750,-218,965,-290,980,+1
-1744,-270,-775,-940,631,1827,1789,882,+1
-586,-350,318,-120,-493,-553,278,322,+1
-1749,1396,-1148,960,1917,2846,573,1031,+1
1058,-828,152,1852,-1712,241,654,955,+1
1415,-936,-1150,-48,888,925,-1046,612,+1
-1050,1450,678,1640,-1238,-53,856,2710,+1
-194,138,-317,417,-978,101,1138,170,+1
1186,753,-912,639,951,827,-1626,-233,+1
890,765,788,-564,-504,-519,-790,-2109,+1
1455,88,-633,1714,-521,37,1606,1209,+1
-1185,-885,-256,-1466,-524,-689,481,2140,+1
-904,-704,-1211,-771,-713,-1457,544,-221,+1
-101,-317,-746,-498,-736,-1072,409,2525,+1
-1810,796,533,595,146,-1359,44,386,+1
-2343,1840,-1984,-163,-290,-296,353,-1135,+1
497,-544,-269,-1731,-428,370,-568,-1111,+1
-1175,-263,-388,302,-766,100,775,867,+1
598,-1418,-492,559,746,904,-502,-1156,+1
1855,-16,-314,955,-2599,-1599,1291,541,+1
