x0,x1,y
224,1372,-1
552,-1907,-1
1262,-1165,-1
1489,-1691,-1
1288,-579,-1
322,1454,-1
527,1570,-1
-1202,2343,-1
1338,2032,-1
-723,1123,-1
1441,-750,-1
-748,596,-1
-302,814,-1
2141,-681,-1
1290,-313,-1
-690,751,-1
-307,959,-1
268,-1468,-1
-1266,505,-1
176,-1029,-1
511,-1371,-1
-442,1066,-1
110,-1307,-1
1738,114,-1
255,1354,-1
359,2223,-1
698,-1369,-1
-640,1608,-1
353,-2037,-1
-1915,856,-1
-1165,-2236,-1
741,-2448,-1
-798,-2135,-1
1304,-1040,-1
2657,-28,-1
-392,-1392,-1
652,1336,-1
83,1116,-1
2727,-272,-1
2838,260,-1
753,1422,-1
-7,1188,-1
-332,1418,-1
-361,2500,-1
-630,956,-1
1022,-1668,-1
-435,1407,-1
1132,-993,-1
-56,-1967,-1
2368,-398,-1
-615,473,+1
820,1127,+1
-363,432,+1
166,482,+1
210,-237,+1
86,708,+1
488,-470,+1
599,1030,+1
-125,-833,+1
116,704,+1
-810,364,+1
-565,164,+1
969,1099,+1
-1008,62,+1
-847,-355,+1
38,-808,+1
504,-523,+1
-546,-471,+1
-1530,-135,+1
746,514,+1
-420,-1108,+1
-1090,-162,+1
-154,-1027,+1
296,340,+1
174,-416,+1
1352,885,+1
-411,103,+1
629,-328,+1
-1538,-1282,+1
658,-456,+1
41,-464,+1
1970,969,+1
908,491,+1
412,1134,+1
-966,-415,+1
253,102,+1
-596,-406,+1
938,405,+1
833,-36,+1
271,-529,+1
1637,335,+1
-1051,-510,+1
-661,-47,+1
1991,541,+1
1405,296,+1
-42,-883,+1
-294,-689,+1
-285,-751,+1
1108,144,+1
-721,347,+1
