x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
-1789,-723,365,1584,-919,404,-2395,551,-1040,441,-1
-333,-662,-507,879,-544,-333,839,899,2241,-112,-1
977,514,389,1033,-377,316,-1726,-102,753,-1033,-1
190,-1960,893,-317,576,-665,1062,-1460,1472,-115,-1
-260,-1808,-2023,-310,-320,-836,425,228,1121,-652,-1
1708,-2532,297,-85,28,455,-535,33,-2191,-1009,-1
1774,-282,-145,477,-847,1030,51,-747,747,-186,-1
1219,-6,-688,-774,437,-799,-714,-306,-334,10,-1
1563,642,292,-1089,-777,515,-226,-414,-488,1533,-1
1234,-1779,-1006,81,-1750,164,-406,-130,417,-731,-1
870,-80,-631,-1888,708,357,-99,1432,494,1159,-1
-1665,-556,-326,-1567,-680,-2036,-650,20,-313,1147,-1
131,-1323,152,-1308,628,73,-57,-1353,-1552,740,-1
-22,242,-1741,216,289,1306,662,391,116,1641,-1
1138,1356,-387,-136,1694,475,-2118,233,168,1520,-1
544,-154,-700,-1477,871,-117,-1569,-1963,-819,743,-1
903,27,-1449,-1082,744,-81,-192,1272,-252,289,-1
679,-756,72,1146,1589,-646,-751,-374,1865,-26,-1
-689,-1006,-1205,818,833,-2067,-80,-780,1213,265,-1
1473,953,-102,-118,1202,298,67,-60,1368,722,-1
153,-462,-1588,1386,-731,-1404,1427,72,501,2005,-1
-617,-945,911,-625,-359,-1250,1053,-1410,2423,1510,-1
129,-1790,-490,603,1248,1547,-22,1042,-618,397,-1
26,957,-862,105,-1032,187,1436,-1870,2681,-507,-1
-47,-2121,-1737,1811,248,-372,1274,435,-647,1110,-1
-69,140,-1179,-224,465,666,-1227,-600,1506,2141,-1
656,-427,1462,1682,-769,212,-1235,605,1149,864,-1
292,-947,-1473,-702,-901,15,973,-253,1246,-10,-1
300,-550,323,115,388,-1084,-1033,-349,831,598,-1
514,-842,-270,988,-1815,-92,-121,308,1751,-1879,-1
1855,-521,-709,-495,-690,735,-108,-729,-511,1118,-1
3348,957,-646,-653,-172,937,-1532,354,1093,218,-1
-322,-582,966,-665,-2060,-696,-913,2151,548,679,-1
310,477,-1405,-343,785,-878,-1429,-879,-199,438,-1
1179,535,-906,40,-233,370,-1720,-89,-2444,1034,-1
1205,1101,-1480,2504,-1720,-122,616,-1581,185,-60,-1
-906,-2421,503,872,382,-643,-345,-918,1117,830,-1
-658,324,-2631,0,122,-840,693,235,694,797,-1
846,-714,1265,-687,21,-1437,-2138,282,83,-197,-1
-979,864,-47,1124,-1430,1772,-767,56,-985,1276,-1
262,977,-700,-169,68,505,-1598,686,-342,344,-1
1549,-1109,-719,1715,-743,385,-509,59,1540,-743,-1
-2674,974,-1462,-448,1271,-232,-916,-1724,296,1947,-1
494,-1610,-303,-841,624,-506,-589,390,1017,78,-1
-68,-1099,-903,1315,-1396,508,-734,-1425,-1010,253,-1
676,-995,494,1092,373,-489,-1071,726,666,-656,-1
1860,96,-1379,-1579,-1081,256,128,552,-394,-535,-1
-128,366,-1372,-1047,-297,-269,-1040,-220,2559,-534,-1
-487,171,-780,-1540,-48,353,-45,-277,2881,264,-1
223,-190,-312,-812,-113,807,-980,694,2238,-1145,-1
-1048,-267,377,-461,-289,519,-1357,-423,396,584,+1
-288,-750,343,1024,-1151,856,653,636,994,-411,+1
-1941,-1275,1785,-1110,1046,1245,-285,-363,-33,-503,+1
-24,771,552,-500,1603,522,1882,484,730,-552,+1
735,189,494,654,-656,-425,2542,814,-148,-1150,+1
-1376,418,-156,867,788,-1346,-596,-542,-2119,-408,+1
-1030,1087,88,-207,-2135,821,-1889,-378,155,-555,+1
1977,529,306,1093,2209,620,-282,439,-690,-633,+1
-514,-432,919,79,503,737,618,-1729,585,19,+1
-347,-596,-1386,241,438,49,-750,-246,-217,-533,+1
-403,999,-209,-396,391,1872,581,914,-1026,-831,+1
360,-423,-758,181,144,-989,1289,250,-156,-2581,+1
379,-49,2289,-21,-286,-1869,-1433,214,1394,-277,+1
1030,-460,306,-550,188,-902,-905,626,-1366,-377,+1
-363,1408,741,1018,472,-1143,2409,1882,-585,456,+1
-263,391,-845,799,1434,9,801,974,-758,250,+1
146,410,1260,992,-2022,1051,403,581,66,-971,+1
21,700,-747,-1194,-1049,1493,-195,1723,-824,304,+1
207,584,526,529,651,-483,415,1307,1348,75,+1
-569,21,696,811,-334,863,509,464,327,-1464,+1
-1066,1396,749,859,-421,865,315,140,340,-2855,+1
-318,958,1167,595,393,1025,1009,1383,1367,-129,+1
-1088,896,-1076,-746,649,-621,221,-1325,-229,419,+1
-1895,671,-545,-465,-648,-118,-513,-708,1486,-504,+1
-1166,114,-1145,-447,1434,-937,549,-762,-2058,-489,+1
-434,-593,-29,602,3081,1337,-335,1464,618,-497,+1
464,289,2170,-293,471,-740,-576,-841,369,-1142,+1
1650,-1026,753,-358,930,738,704,134,-1235,-1036,+1
-954,385,1082,-97,1468,-1146,525,673,561,-779,+1
730,-1241,543,-1608,-85,2153,2480,-1647,-756,169,+1
748,537,356,984,-120,32,-69,-1415,-2057,338,+1
275,1335,459,-1118,1438,775,-855,1354,759,-578,+1
-552,490,724,348,-385,-86,-1130,-327,46,-1536,+1
-1232,2678,-47,334,817,-1684,-145,2264,-283,-722,+1
-1109,890,1041,95,524,650,692,634,-822,-1916,+1
-603,850,-750,543,1365,580,478,-292,1031,1131,+1
-1075,-1072,392,-874,-391,94,-457,1756,330,627,+1
-1411,-7,1196,11,-1007,1324,135,-1572,-1747,1118,+1
642,-307,1094,989,1241,-328,796,2408,824,-672,+1
1521,1638,738,-145,75,1379,1207,305,-299,-1055,+1
-939,-1861,56,929,-238,1136,710,57,-1005,-1779,+1
-791,877,-74,-1358,-979,1064,200,17,-435,290,+1
777,-39,738,541,918,-283,1181,-731,-257,641,+1
