x0,x1,y
-48,-325,-1
-1339,1064,-1
530,894,-1
258,1060,-1
997,238,-1
1032,-43,-1
585,627,-1
1764,1129,-1
-110,1153,-1
-1116,501,-1
-185,1281,-1
118,726,-1
655,202,-1
-704,-434,-1
232,-482,-1
1189,-52,-1
1134,447,-1
-245,598,-1
1282,665,-1
322,853,-1
-1044,558,-1
248,1656,-1
-376,334,-1
-154,19,-1
1303,1071,-1
861,272,-1
-475,103,-1
430,-372,-1
-772,948,-1
517,1121,-1
-256,-403,-1
592,631,-1
-336,36,-1
-670,484,-1
-1183,231,-1
546,-93,-1
104,1887,-1
-475,-306,-1
717,526,-1
853,105,-1
-526,-334,-1
30,580,-1
-969,4,-1
487,410,-1
-444,127,-1
-479,267,-1
1014,803,-1
441,-551,-1
-696,138,-1
-16,1138,-1
-162,888,-1
-113,-680,+1
430,-813,+1
-212,-499,+1
-692,-833,+1
1276,289,+1
-557,-1136,+1
-358,-1061,+1
-1477,-1913,+1
430,-1245,+1
-3652,756,+1
691,-784,+1
37,-2234,+1
1176,-957,+1
-1536,-159,+1
-208,-985,+1
-1291,93,+1
731,-669,+1
-1185,-1119,+1
1459,1777,+1
-252,-867,+1
1256,-747,+1
-634,-675,+1
-2043,-1189,+1
-586,-272,+1
943,-692,+1
170,-483,+1
1979,-18,+1
-1680,179,+1
-2358,2505,+1
-1509,-823,+1
1654,25,+1
-1631,203,+1
-136,-710,+1
1263,142,+1
-2186,81,+1
144,-1147,+1
1207,-1626,+1
679,-1036,+1
363,-675,+1
-2010,1702,+1
-619,-2159,+1
-258,-1341,+1
394,-491,+1
557,-1279,+1
-248,-1179,+1
-1230,-121,+1
-664,-1554,+1
709,-927,+1
1119,-466,+1
