x0,x1,x2,x3,x4,x5,y
1493,1054,1577,1980,235,-517,-1
629,-1762,-547,558,692,-159,-1
1285,-721,-29,1740,1270,-3074,-1
-1717,-1731,485,431,400,-503,-1
-889,-1320,62,-154,891,1095,-1
-92,842,-445,1569,-477,-1426,-1
-1484,-3137,-982,210,315,-600,-1
1056,-963,1,613,1071,-1732,-1
-17,1386,-879,1352,306,922,-1
-1533,1008,308,-1130,624,-1086,-1
-423,1004,-197,36,849,600,-1
-120,380,-253,2505,-798,-570,-1
-1496,850,-190,435,855,-1384,-1
-1182,567,227,1101,-1057,227,-1
-370,-109,461,605,117,-814,-1
782,-1080,772,1084,1059,-1572,-1
-337,-602,569,-256,227,-1409,-1
732,97,1072,603,477,-751,-1
-1542,-618,-198,358,917,-526,-1
863,1968,7,292,665,-4,-1
433,236,-316,1209,-1049,-1189,-1
-451,388,-999,-823,844,-2350,-1
-136,1096,-383,-118,821,-1245,-1
-1214,1534,-179,-513,838,-231,-1
-532,759,-920,1431,-527,293,-1
1256,515,2115,-88,528,586,-1
-615,1233,212,970,-291,1182,-1
-899,-112,1381,237,540,7,-1
-258,-381,264,678,464,-2970,-1
556,-531,-800,371,1416,-667,-1
-531,170,1000,375,1086,-21,-1
-1426,1825,155,411,-1249,-110,-1
-1601,367,478,523,-1606,-990,-1
-1506,353,784,464,-403,743,-1
1008,16,1841,-155,184,-809,-1
1031,-1486,245,-166,2049,113,-1
-518,836,56,-9,624,-1902,-1
247,693,1068,1428,2602,844,-1
65,-1504,-1140,735,1184,1084,-1
17,902,-156,1370,348,-1240,-1
-1488,1051,2385,-1152,321,-901,-1
-1412,141,-995,627,-1003,-845,-1
-454,-301,958,824,295,-369,-1
-1097,-1122,680,615,-717,882,-1
-73,698,-562,1485,230,-742,-1
-567,42,887,777,723,63,-1
-683,391,-290,-273,1731,366,-1
1132,1230,-613,2875,-722,1537,-1
-56,-370,433,447,-539,-356,-1
-1289,33,396,1315,479,-730,-1
1677,278,334,-653,337,-1191,+1
431,626,-1348,-1665,674,896,+1
-716,-966,-105,-988,-1283,-30,+1
480,-1121,77,58,-580,-424,+1
758,658,-35,-779,-366,1258,+1
-476,442,221,-1496,50,-1627,+1
-220,-53,-1226,372,229,950,+1
1530,-654,67,-858,-355,158,+1
1571,-172,267,715,-393,1041,+1
-346,1692,-1151,-681,-1450,777,+1
-1104,1824,-580,-1746,-565,195,+1
1366,962,-575,-1188,1508,-402,+1
946,-563,-223,-517,378,418,+1
898,396,-711,-375,-888,1191,+1
-1734,572,-9,-1055,536,918,+1
274,-723,1551,-1429,320,-739,+1
-637,-130,1294,-1656,1206,2019,+1
1400,-333,777,-1183,157,-2,+1
-129,-1474,-746,37,-1411,1766,+1
-530,946,1159,-849,-196,-899,+1
1092,-548,-1191,-606,376,-1041,+1
512,-350,-475,261,-320,250,+1
854,286,84,187,-842,-523,+1
-1301,1509,-904,-1099,-511,-463,+1
-627,633,84,-778,-2114,802,+1
-291,-943,1492,-2162,-1884,-1721,+1
328,-540,-2040,133,-722,807,+1
-35,648,-279,623,-538,243,+1
811,1982,486,-1896,-589,190,+1
1476,-1012,-203,-945,-768,1584,+1
1556,92,-235,201,-1032,-1607,+1
-871,63,-874,-2890,-52,1606,+1
1400,850,1684,-2777,-1240,564,+1
-868,2477,-1515,779,-416,1353,+1
58,-281,382,-1339,583,634,+1
18,1111,1331,-1367,1067,420,+1
887,-548,-1165,141,646,-763,+1
1270,200,526,-689,341,595,+1
387,1294,-267,-422,-807,2139,+1
768,615,532,-1234,-778,-908,+1
-213,-1960,-968,329,-1339,632,+1
773,-736,-71,-998,445,-326,+1
945,-250,-557,-472,-716,594,+1
229,2090,-1533,-1197,-1555,-1740,+1
632,-236,-492,-1495,-1066,548,+1
-23,-112,-2126,-737,-201,-1428,+1
4,-2806,174,208,1023,938,+1
500,204,-374,-390,-533,-493,+1
774,-104,-692,-133,328,396,+1
-1277,-122,206,576,-1421,-309,+1
