x0,x1,x2,x3,y
1048,-736,569,-437,-1
-396,959,-1288,-27,-1
750,1207,232,-42,-1
-126,340,655,-16,-1
1549,-195,259,-370,-1
-820,698,189,-32,-1
842,-969,627,-556,-1
343,-492,-1003,469,-1
1373,78,572,193,-1
-232,-303,449,-1433,-1
628,-1040,-997,-436,-1
1248,449,458,-62,-1
-820,1199,532,164,-1
-709,1101,-56,-1253,-1
110,-1220,-217,-534,-1
-530,1407,1049,-641,-1
-19,128,-423,-386,-1
-492,-1,1408,-664,-1
1081,559,-297,-1000,-1
293,-442,145,-1887,-1
-25,469,1310,-576,-1
-878,1612,-920,466,-1
1205,-950,-708,-154,-1
-537,897,1729,-36,-1
713,-195,-384,529,-1
-1454,700,970,-1630,-1
374,-455,-1403,199,-1
1176,-1564,374,315,-1
-393,-719,618,-287,-1
929,-875,647,-918,-1
2442,666,638,1171,-1
-678,-846,198,-295,-1
502,380,-376,585,-1
795,2440,-1225,-94,-1
-178,-257,1081,-1384,-1
-106,-891,1647,-436,-1
559,1011,1024,560,-1
-239,-1052,-1272,-1066,-1
-1517,1168,-383,-875,-1
72,-571,912,-1146,-1
1213,1211,-200,1329,-1
-199,702,1811,464,-1
1642,162,452,-577,-1
-249,-638,449,-905,-1
-493,-740,-264,-887,-1
-300,1417,2276,765,-1
-773,968,1152,561,-1
-765,1078,1775,138,-1
-464,-1366,-1143,1382,+1
-751,-1092,385,526,+1
261,149,-148,587,+1
-786,-1092,-1308,-199,+1
327,-1384,1337,310,+1
-866,-227,-1524,800,+1
-286,-2049,1178,201,+1
303,1314,213,2508,+1
-207,346,514,1346,+1
482,48,358,1268,+1
-1086,-946,-1128,61,+1
-39,-605,-2168,162,+1
-806,-889,568,1575,+1
-293,-1334,876,-2060,+1
-1181,-143,254,174,+1
-196,52,1311,1466,+1
-537,1963,-342,-1250,+1
-1085,-1357,234,167,+1
-883,-590,-304,1590,+1
-657,808,1509,567,+1
-1256,249,159,186,+1
888,75,-883,1442,+1
1815,721,-716,-735,+1
1620,1285,676,-647,+1
840,-3063,-1143,1338,+1
-30,-1119,224,492,+1
-223,133,615,1282,+1
971,-309,239,-1918,+1
386,577,-325,1559,+1
-643,1877,2041,1084,+1
-207,235,-1348,1707,+1
186,393,39,-1310,+1
659,1140,1038,2683,+1
804,-1654,339,178,+1
-1212,-936,-357,434,+1
1965,1822,-896,-775,+1
-37,-2274,1333,1215,+1
528,905,513,-826,+1
896,-334,-460,-2644,+1
592,-183,-1569,654,+1
213,-1755,-777,1469,+1
366,-58,996,1130,+1
1252,-226,784,2054,+1
-732,-772,426,-260,+1
-1169,357,1359,919,+1
-571,-1081,391,1423,+1
-1617,-208,-2468,-503,+1
-239,-378,-1215,1190,+1
90,-1161,184,1274,+1
-172,62,-1392,420,+1
929,-933,-127,-1683,+1
1931,-170,-166,-1277,+1
