x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
1207,2253,1935,218,-1792,1494,126,-812,-1383,1368,-1
-916,-1,1830,-2407,73,524,61,-801,1339,-1846,-1
1447,-1564,-549,1519,348,-139,359,107,2405,-2360,-1
1093,-1487,-802,247,1996,-1168,-959,-32,173,118,-1
751,54,90,-613,159,777,211,-993,-1327,-695,-1
-442,79,816,-234,-459,715,-374,-16,503,360,-1
1728,398,627,454,1305,156,-418,36,-342,958,-1
75,1717,-981,255,821,-1735,-162,996,567,-1139,-1
1457,766,-925,-742,1289,191,658,-1142,439,-239,-1
-746,489,948,-775,-500,-452,-587,-1296,-178,-237,-1
-438,12,252,68,-471,757,-206,-100,827,-320,-1
677,-183,765,-440,76,-821,1329,252,-139,1490,-1
24,686,37,-673,458,-1375,994,1032,-489,578,-1
791,-46,-1168,-39,-1217,101,299,1342,-322,581,-1
-1291,659,-1012,-601,-699,-321,-139,-540,-232,2623,-1
2019,525,-471,752,-534,-345,636,-577,73,128,-1
-1680,463,903,952,-1337,-1336,-2213,-1290,-253,870,-1
-847,1635,397,99,-117,-155,-117,-1026,-597,931,-1
-578,955,-274,-151,-793,497,-59,-36,-101,-34,-1
-1157,-30,210,-90,-696,1527,155,1037,91,-98,-1
32,503,-243,-1106,136,438,3077,-624,-1971,-802,-1
-97,-63,-950,36,2198,705,127,-22,-1290,-85,-1
1245,-859,-48,121,1062,-1502,370,-732,401,-800,-1
680,-190,332,73,-754,1680,1677,453,120,-944,-1
610,-670,-535,-301,1575,-976,-1342,269,1424,357,-1
729,-803,378,-506,128,670,-670,-330,950,-185,-1
1393,1735,-1134,-791,-1378,1773,669,-24,-65,-849,-1
52,-1163,417,1149,-700,-1173,-86,-372,-362,143,-1
1489,134,-316,714,121,948,-1572,486,593,-390,-1
684,584,1256,88,-1341,353,640,599,644,-1323,-1
2644,1134,-378,277,944,1618,608,-1660,-215,-977,-1
