x0,x1,x2,x3,x4,x5,y
-519,-1426,1249,-599,293,-1731,-1
163,122,784,1783,100,1525,-1
1403,-114,2125,-402,318,-447,-1
985,-747,-102,-1819,290,-256,-1
-348,43,-1185,-1437,-132,103,-1
-886,-754,-119,186,397,580,-1
683,420,-386,-948,-1046,-452,-1
176,449,-3469,-975,-786,408,-1
-297,-355,111,1091,2704,274,-1
385,-735,769,-1441,-185,81,-1
1652,1405,-399,-1145,1540,1813,-1
578,-9,-175,-1053,166,-311,-1
-132,285,-646,-1302,21,-117,-1
164,-628,1176,206,-319,1437,-1
1752,593,-417,263,1528,2541,-1
62,-510,18,-2078,-1499,-1430,-1
-723,-1448,-459,1723,-82,-714,-1
1149,612,309,2533,1206,-1154,-1
506,-452,-802,-923,479,-1515,-1
-420,1,-208,606,171,40,-1
-479,-961,-844,594,517,-907,-1
743,305,-187,299,-748,-950,-1
135,209,1860,-1261,-652,644,-1
-109,-822,968,-106,34,-970,-1
119,-277,-1,290,2269,372,-1
1200,182,1286,654,514,595,-1
1238,281,795,339,-494,-704,-1
1550,952,1361,263,-87,779,-1
1201,-69,1150,-950,-491,581,-1
-123,-384,294,-1140,1340,-610,-1
366,211,-2265,925,1061,-829,-1
-256,92,1941,-1770,1212,753,-1
391,190,2391,43,405,1408,-1
185,463,-4,59,1619,1447,-1
-1022,-825,-1450,-1215,-1070,-675,-1
704,926,-752,457,-1119,1141,-1
381,-11,-97,1165,402,794,-1
777,306,1365,81,-426,287,-1
-735,-1614,556,623,10,1410,-1
658,914,-287,407,-671,510,-1
214,70,271,429,-597,-764,-1
1473,559,-453,1655,1041,-892,-1
-204,170,-203,633,161,-474,-1
-815,-269,-2556,298,1854,1992,-1
106,428,764,626,216,837,-1
-1378,-791,-698,1138,722,-374,-1
276,-411,-463,-1731,1550,371,-1
-1483,-1046,554,-846,36,-1485,-1
97,165,474,-261,-269,-1754,-1
1244,-341,-461,-734,352,-812,-1
-1044,919,-347,360,158,-446,+1
-492,741,192,-354,210,2236,+1
1172,-854,74,665,-118,-579,+1
636,1342,1492,-1496,-677,-1689,+1
-2009,196,40,832,-742,334,+1
1695,-728,-524,780,-862,14,+1
223,510,-1571,-1159,-758,-1083,+1
-2771,-683,828,195,-626,-670,+1
-444,117,-1208,-611,-273,-598,+1
-743,983,-442,513,-573,1050,+1
-1097,1215,-1330,-77,-841,614,+1
-1192,825,804,-1023,-1363,63,+1
-903,600,1382,732,466,1421,+1
-916,574,778,-337,224,-31,+1
-872,24,918,-490,-121,747,+1
186,430,1120,-295,-112,-1029,+1
378,1681,-7,2472,1156,194,+1
-91,647,223,1052,2082,-914,+1
1221,-2622,-157,436,-1043,-666,+1
-1499,-313,-774,1109,-962,217,+1
-14,1558,707,469,-681,-898,+1
1505,-1060,-549,648,1431,1492,+1
-1460,1531,1383,-1014,-704,25,+1
2117,-1552,-116,-738,-1647,499,+1
361,2444,116,1630,-570,-652,+1
-196,1750,149,-937,228,-506,+1
821,-921,755,-1225,-2310,1433,+1
111,433,665,250,-130,-629,+1
-829,614,342,-930,2236,-47,+1
-2133,483,2031,-236,-9,-933,+1
-870,867,932,191,1030,-369,+1
136,1966,318,355,-1322,104,+1
-876,180,-490,-386,-323,48,+1
-445,88,986,433,407,-1278,+1
412,2036,-700,-85,245,-172,+1
-692,-134,-183,591,754,-50,+1
-1365,645,108,-1718,-175,-63,+1
-167,717,1514,-671,-995,-334,+1
-880,437,2320,-786,-917,-687,+1
-1406,998,-64,137,190,-1356,+1
-683,795,1579,85,304,289,+1
529,-1124,954,-1009,-693,284,+1
-1296,4,-776,1237,-133,929,+1
-2064,1602,1235,-3295,61,-530,+1
-1659,-212,-1531,12,5,-113,+1
90,2307,-1369,2714,-2585,-56,+1
-1240,1854,93,-31,199,-312,+1
-145,-1481,-561,385,-852,652,+1
1620,-3048,-823,-665,1202,218,+1
-1099,1668,407,-476,-755,909,+1
