x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
-183,785,-717,-8,2551,733,-218,1291,487,369,-1
1832,1748,-367,2177,829,791,1200,-645,-911,-327,-1
-263,815,552,1459,737,403,-1422,-1944,-116,-2121,-1
-937,614,-237,-220,-405,-572,-189,316,-94,-1129,-1
1227,888,-1079,741,-2417,715,623,390,1524,1597,-1
-427,2547,-129,-606,-864,-1824,847,-1357,-361,401,-1
-699,-195,320,-350,-37,-651,-144,-442,970,-1081,-1
-2038,889,-381,508,691,1498,980,994,687,-209,-1
-287,-248,-333,105,16,-597,-277,226,-982,-757,-1
89,-942,-423,-461,-816,-131,1671,-879,-99,-253,-1
-404,-759,-57,727,-574,-1967,1859,-629,-391,-16,-1
233,198,-1039,425,-1439,2027,-1291,-1190,1047,267,-1
1128,-44,216,-1853,-746,1048,-1156,1221,-304,-662,-1
128,-487,874,824,-1150,1312,-559,5,2556,1439,-1
1602,527,-2188,1243,-810,304,1280,-1092,-1212,965,-1
285,-663,-974,-921,-874,631,423,-507,-1516,-388,-1
394,-1039,-808,-1645,569,-671,-187,1267,-587,-735,-1
1010,-1446,-14,-804,-106,-174,575,1371,1442,358,-1
259,-788,-985,957,2386,-1696,499,876,-1892,-1693,-1
-302,-251,-502,-1373,2110,462,1347,746,-73,1235,-1
842,472,114,967,238,775,576,2290,-1266,-925,-1
463,425,1043,-1922,-211,2109,-132,-1030,197,-618,-1
-86,858,-855,838,1323,-379,281,-403,875,91,-1
2986,-34,-1080,-587,580,-569,-120,97,-448,841,-1
328,-1148,11,-1224,404,1604,1056,834,-344,509,-1
402,469,553,-959,1827,-1047,680,1060,-415,965,-1
203,298,-972,-352,28,-708,937,857,-58,-687,-1
-133,102,477,399,652,652,-2057,-1999,-1455,280,-1
-2068,-1971,37,-499,663,-392,-1275,4,-1140,1308,-1
844,270,-869,1426,-240,-1033,-140,1490,277,1046,-1
-687,335,202,-1303,-1210,-196,1197,-1355,-1053,-176,-1
646,-422,-1073,1545,-1834,-523,1466,1141,-782,-209,-1
847,-635,-497,-869,-610,-725,-267,778,410,-2483,-1
-2859,606,1159,-350,-1818,-590,-182,2259,1273,-1004,-1
311,1254,1737,-647,-2385,-354,536,1101,508,-131,-1
-543,1562,770,-1056,1374,1680,31,-135,465,-2540,-1
-201,1076,856,-2283,104,-840,1690,1506,892,-790,-1
903,636,-105,301,338,763,-1779,-719,-477,452,-1
995,2235,1469,-550,489,347,1398,-430,581,-341,-1
291,119,-1305,-1162,-2258,-564,736,2559,-582,-1544,-1
