x0,x1,x2,x3,x4,x5,x6,x7,y
-1567,1862,-766,2040,-124,973,-780,866,-1
427,556,-949,471,717,-1080,2451,-205,-1
-576,33,-1457,-382,937,1637,-96,-1029,-1
-851,899,-1056,156,309,785,1143,553,-1
-928,520,-1726,-209,-1171,2562,81,-507,-1
1158,824,552,-842,-494,1377,-964,-1687,-1
225,550,391,-2061,-1833,462,142,389,-1
1101,-41,637,1066,1819,-67,1469,-1017,-1
553,-377,1435,616,-1203,1410,-963,416,-1
-604,-436,392,1676,-1121,-747,1253,491,-1
213,269,40,-373,814,1242,1227,-562,-1
-1315,-482,172,308,-2280,1285,1368,-481,-1
-1847,1726,995,-445,-545,2598,-675,-1376,-1
900,-493,701,533,638,723,348,-5,-1
-1160,-653,1395,-2059,-228,916,1287,-1196,-1
1934,495,2344,251,-770,-765,-735,-238,-1
-265,1004,-298,772,2449,-1741,1480,-265,-1
1338,1590,300,-264,-103,987,-427,-583,-1
-146,255,-1600,1070,513,-395,736,-790,-1
1014,346,380,635,-745,-817,-184,-1036,-1
-359,517,202,-116,-1090,589,-89,453,-1
550,-737,1582,-114,-893,-448,359,-1388,-1
473,-1013,185,-1493,-254,-1180,1809,207,-1
282,1331,-61,661,-1116,1187,-813,-142,-1
307,-245,1794,-540,715,627,1691,-1638,-1
2035,2211,233,1921,-320,488,-864,-1082,-1
-148,971,102,992,-1493,186,251,210,-1
70,557,-387,-1364,-278,173,452,-203,-1
-1754,525,-1620,-1041,-1980,1941,-113,-130,-1
-179,56,560,375,922,708,8,-318,-1
-1616,808,-897,1320,-377,51,-112,-259,-1
1595,103,-1208,-1735,-1845,202,1111,-403,-1
-878,577,529,804,261,899,-269,1451,-1
-2333,659,-1520,1360,976,156,1517,1008,-1
1512,1283,-546,245,-913,-1551,559,-1153,-1
-994,1078,830,-678,-406,-1432,123,-3059,-1
777,1370,1640,-492,300,659,90,-808,-1
-709,693,-893,191,-366,1544,265,-28,-1
277,588,-924,220,-1247,1146,-38,-1533,-1
-324,-136,851,862,-1064,839,721,-2262,-1
731,-184,-430,-682,-565,-1276,1157,-37,-1
594,1199,1687,-1377,-465,1285,50,-986,-1
318,650,22,1453,-844,-1104,707,200,-1
1395,538,847,31,-1128,114,603,606,-1
-1390,886,1729,-948,-1042,709,-918,-139,-1
-1097,350,2193,-331,885,1036,525,777,-1
-1,1692,2410,-1461,881,385,800,-925,-1
1645,3162,505,2139,1370,268,120,-1045,-1
1498,1136,-819,-1204,-259,545,607,-1364,-1
215,2852,1364,286,521,1440,-1421,-1850,-1
644,-804,2162,1718,294,272,171,1824,+1
-1496,249,-91,1458,-146,-1503,219,-407,+1
1252,392,-1457,-226,-13,-606,-608,-623,+1
-459,64,-95,292,634,-657,808,1052,+1
887,-406,-50,-580,-364,-506,-898,-332,+1
526,1183,313,-862,231,535,-847,556,+1
-1280,847,827,-1598,350,241,-262,-408,+1
1582,-2281,-2112,-767,-245,867,1150,1113,+1
2280,-311,-1031,59,46,1669,-534,1274,+1
-931,-214,2277,-495,-1057,-1387,-1471,1185,+1
-1362,-529,418,773,239,-87,-772,24,+1
331,-1802,280,-1112,-462,1575,-502,-1129,+1
-285,714,1133,408,208,-1387,-1020,-823,+1
-697,-1054,-359,-1109,-390,-558,187,-51,+1
-1680,680,824,633,-913,-1159,-901,-406,+1
159,-354,528,464,544,175,-473,979,+1
154,194,-651,-488,1619,-94,-376,-1834,+1
-1325,69,547,-130,726,-420,-1334,1030,+1
-1439,790,-836,-827,862,-688,-676,-889,+1
555,-716,1302,145,633,-252,-663,-576,+1
-48,-1665,1276,1136,-289,-43,411,80,+1
-571,309,219,-359,-738,-1189,-27,-1763,+1
1211,-58,869,-1325,-137,-89,-1048,-528,+1
487,35,-398,856,113,-990,-672,962,+1
-1245,-644,2544,318,250,-42,-764,190,+1
1681,-1482,-447,-1206,199,-1106,480,-2055,+1
-506,-978,2027,126,-1098,-773,-694,-140,+1
-137,733,577,1302,2571,-581,-1250,91,+1
-1579,-228,-303,806,1186,-264,477,-1077,+1
1097,610,-277,-1438,889,-955,-43,-87,+1
-1745,-258,162,-1346,256,377,-289,936,+1
-107,769,-435,-1234,-912,-496,-975,-2258,+1
-761,274,-1068,-1176,-1713,1553,-609,980,+1
256,-908,-498,-131,325,266,-747,-1093,+1
330,1221,-127,33,-74,2065,-1471,1789,+1
-503,-1552,-399,-474,572,-1016,-2073,462,+1
807,-836,-500,1310,146,-562,335,336,+1
1133,-723,128,-1333,1547,-236,-39,-294,+1
-158,-1948,-1090,-199,-934,472,-65,614,+1
-1487,-411,-665,-1593,-995,-111,-723,-304,+1
-1107,-1051,-615,-409,-563,339,827,-620,+1
724,-1474,820,305,-1108,1833,-714,246,+1
982,-137,-106,817,-88,-23,-647,-1042,+1
-545,695,304,50,-310,-325,-728,-170,+1
1725,-1818,-548,723,2070,-546,1466,-62,+1
-654,2224,-105,486,1084,-958,-1943,1005,+1
-62,1295,-667,-596,1436,16,-1303,1117,+1
201,-74,33,-771,175,-2669,478,460,+1
233,798,246,639,773,-280,-1456,-1221,+1
737,-233,-963,-304,-1019,-1232,-220,-841,+1
