x0,x1,x2,x3,x4,x5,x6,x7,y
-907,242,1045,524,-1575,1259,-1158,1226,-1
-66,-841,876,-1016,2042,-260,-48,738,-1
-382,1535,1367,728,554,949,-1920,-2525,-1
758,844,262,-580,-36,-1199,-1479,22,-1
-1044,663,-1261,1304,216,-1601,-817,666,-1
666,-601,125,-1965,493,641,-876,-921,-1
694,-64,-916,-256,1031,-187,-912,517,-1
528,-2501,-2595,949,-790,632,673,-485,-1
-700,1248,275,524,-939,905,-275,361,-1
1070,-19,1128,1631,2013,196,-1580,930,-1
1258,-640,-1021,-1649,-1625,891,-969,-596,-1
-158,623,1302,-1228,-1160,-133,-1686,-993,-1
1113,1017,-1299,487,-2562,1398,-633,-466,-1
-1876,1604,5,266,-327,640,-880,982,-1
-54,-1424,-672,-543,1764,957,-1317,1080,-1
-747,2300,-189,1256,-375,656,-1741,-722,-1
-59,43,1576,1524,-1888,372,623,-166,-1
495,-458,-1222,-1568,1871,1144,-69,89,-1
-1083,2680,491,-1990,-1870,2481,588,-639,-1
978,-1285,657,-1606,-290,-253,-607,381,-1
1082,448,126,-837,1864,802,193,-1335,-1
318,886,1321,535,1084,921,-353,1859,-1
61,1733,-1721,434,-484,-860,-1487,-1104,-1
756,-643,102,-40,-60,-1943,-1909,-1267,-1
-542,-1372,919,1594,1408,950,-1867,400,-1
1774,587,279,-600,1951,767,-220,-2317,-1
-405,1030,-848,-207,1487,1977,913,1342,-1
466,-549,-914,-1363,-394,849,-1120,-470,-1
-801,1028,-929,421,723,186,-1414,1566,-1
879,220,1182,565,6,2295,-1569,-692,-1
-694,-1462,76,1035,-1972,1997,-339,475,-1
1143,1236,-1068,-789,385,1520,-1407,-844,-1
-823,-1446,-72,1069,248,228,-368,600,-1
684,-178,-503,1111,1599,937,585,-919,-1
-413,-123,-235,350,1256,342,-157,-322,-1
-1260,1349,-178,1178,-618,3112,1795,-905,-1
1916,1529,-516,-909,841,90,-1238,315,-1
-174,305,133,-2275,752,479,-1568,2469,-1
135,-1644,-291,593,-453,5,-884,420,-1
1094,1740,-523,1700,2864,-1103,386,-117,-1
-2556,740,-187,353,-557,-135,-531,458,-1
-816,-717,750,1701,1097,-110,655,-1339,-1
531,87,252,1638,1281,641,-749,-1113,-1
-533,1513,419,637,-1642,-329,-1359,623,-1
932,-387,-354,-1403,-1244,1604,-177,-896,-1
-81,-67,329,-1537,-1117,219,-1304,279,-1
-1073,2,559,955,-433,1105,-698,-628,-1
-2741,91,1826,341,-981,922,424,623,-1
1834,-451,-2263,-1191,1139,468,-431,146,-1
-764,-626,496,-229,-979,788,-1033,515,-1
1567,114,-1850,-992,618,344,-212,395,+1
-459,-88,-440,1191,-1484,11,-224,1121,+1
845,1102,-485,224,-94,-1127,-804,782,+1
774,-536,93,508,339,-1983,-633,315,+1
-1177,1312,576,544,447,685,624,304,+1
-884,388,-287,-386,1302,-1393,-36,443,+1
-1072,464,249,648,-414,82,454,642,+1
108,-675,399,39,-359,884,631,-1711,+1
-261,274,-283,316,2075,-1381,887,-338,+1
997,273,-1404,-2373,-102,398,-844,-110,+1
-378,-542,-1084,1406,-2237,187,-451,233,+1
573,199,614,-302,740,805,1410,-661,+1
-331,-1222,-679,-1103,173,-1276,1122,-277,+1
-712,-845,162,222,-68,-82,347,1927,+1
-364,-679,-2656,-95,1796,-1547,444,252,+1
-647,1797,-205,-702,-159,-710,111,-1001,+1
-135,235,-661,-967,-1132,-1823,2761,435,+1
-185,-227,666,553,708,-760,1365,-985,+1
1529,-1021,385,-415,-81,-1397,463,654,+1
-673,469,938,-1578,-808,-1485,1196,988,+1
-185,319,447,524,1084,-855,1047,-1153,+1
510,-1400,245,839,-1609,-1844,134,-1229,+1
632,-356,-405,134,-998,-1494,618,-382,+1
-1066,-210,1023,-300,-1643,-1794,-605,550,+1
18,-84,841,-884,-187,512,2944,-1224,+1
47,-946,325,188,906,42,975,-1304,+1
147,340,-411,597,197,-30,-734,504,+1
-228,-572,-703,146,617,-1064,-1056,-261,+1
67,1453,1072,-1334,-1090,-602,1121,-923,+1
607,-1126,2480,1050,-494,-592,1237,625,+1
1140,-1242,-409,113,-1541,-1246,-178,-1056,+1
-1461,848,-1014,-912,545,417,870,-679,+1
-467,1267,-2614,585,311,350,312,-755,+1
-1202,38,709,-208,-681,-76,309,983,+1
838,423,-743,-1961,-152,1831,854,488,+1
-1453,612,211,-79,1219,-1366,360,366,+1
-1019,1113,-384,-1419,-1272,-1269,-585,764,+1
125,237,831,963,-1537,-802,-390,400,+1
529,-1305,-2296,293,892,-440,609,-268,+1
854,-531,-1940,-142,-281,-53,-240,-300,+1
795,901,-369,-289,-663,-2675,-775,48,+1
-659,-26,1796,-115,-557,154,574,882,+1
-1770,245,-739,65,-146,254,-914,-322,+1
-633,-147,-738,336,-1821,-861,1387,4,+1
-375,-190,-1446,-318,185,-1099,957,30,+1
-1462,-327,-167,133,782,238,1162,-1559,+1
-1107,-43,-1085,1772,699,-1827,401,-774,+1
-1755,-1108,692,-31,-2370,-839,286,610,+1
-339,863,355,251,71,-931,39,748,+1
639,-416,-424,-2712,946,-572,-693,1113,+1
