x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
63,3139,-596,-662,1169,587,-1119,-469,-692,-1482,-1
-1297,1556,-609,261,808,-906,455,913,-555,-434,-1
208,-770,467,-2236,634,1023,-1190,211,-615,-831,-1
394,710,-829,6,-1674,-246,-425,-736,-609,-8,-1
419,-491,-2886,-11,-64,533,-1220,-103,-197,2217,-1
-664,397,-3278,128,565,-516,-1349,1808,-1414,990,-1
1574,919,2419,1039,-2547,-1143,-717,959,-1323,-125,-1
729,-158,181,135,-265,1410,-175,-93,-866,706,-1
755,415,-1275,-1365,997,382,1279,1678,-345,1128,-1
-260,147,-108,-697,73,-205,1029,-240,-880,1854,-1
315,1189,-35,-2450,1272,90,-349,608,-1383,-38,-1
843,67,-430,-1655,377,-1847,337,1098,903,302,-1
-1508,1130,299,1881,576,1963,-1422,304,-608,-1264,-1
623,591,939,-522,-944,-703,424,1043,-107,229,-1
970,526,-432,126,-595,-1448,111,-7,1093,-310,-1
447,409,-576,-2804,2345,1119,-612,2749,-178,1564,-1
-1995,252,-482,-520,-1019,-278,-1294,691,-356,-1268,-1
-324,994,-168,-301,900,-1015,1420,823,-275,996,-1
1048,-1554,719,-502,-363,-289,-1459,101,-797,-1735,-1
1101,-1774,-767,-2420,905,1630,-1232,963,1000,-639,-1
-583,1066,-1203,1456,-1183,547,-1280,-1346,267,-1094,-1
-1329,-1073,1600,-1591,798,-362,-1328,1063,-825,982,-1
-799,-572,-460,162,116,-502,346,1298,-535,817,-1
1115,132,-940,-642,-169,35,-1362,1270,-714,304,-1
88,-199,-2397,913,1200,-1225,-35,1097,606,85,-1
-668,-224,-341,-1591,-949,319,-276,855,-1318,40,-1
2897,-1540,180,-1544,1447,11,702,-1102,-654,-956,-1
-911,1217,-82,-2001,-524,1440,399,1442,-1282,16,-1
170,1411,122,-1060,1401,453,-937,2191,-97,2192,-1
-867,-456,347,-674,-384,236,-1487,-68,-932,-892,-1
1293,-321,474,-1232,-901,-387,394,-152,-1815,1056,-1
-807,929,-1431,-1138,-257,1757,-1959,-1942,-813,-341,-1
-968,121,1511,-663,85,324,-1872,-966,-325,305,-1
-94,159,-829,-279,-1042,998,-1516,1063,-1149,758,-1
945,436,-475,-1724,796,1223,252,-1438,-1413,1179,-1
1842,-691,-1434,-852,-885,-216,685,388,-1678,1219,-1
-346,-118,1276,205,-1192,-574,-1094,825,11,1814,-1
1014,-811,-255,-339,343,-832,973,898,-1126,-832,-1
100,-1980,-3040,-1892,718,-328,957,880,-1097,1743,-1
-144,1153,-651,99,-482,-119,169,303,1606,349,-1
121,1096,1671,-570,62,866,-476,-1075,-1925,1500,-1
1751,-1325,-94,-1696,703,-1094,-203,177,131,963,-1
-341,-649,-1063,-1,-1128,839,-1679,-326,-333,65,-1
-72,117,669,-2217,-335,-750,1188,1499,-641,-477,-1
510,177,-765,165,-306,-1630,-2022,-449,330,-493,-1
-602,-1212,-716,-2255,-611,-769,-673,218,26,-663,-1
538,85,-27,188,293,1358,-1218,-601,107,193,-1
230,373,99,899,-2194,723,-888,-1066,-1248,7,-1
976,107,-2024,-1088,829,379,313,-1407,-380,-102,-1
443,-631,-112,-1252,-271,1420,128,704,447,-789,-1
-1195,965,210,158,105,738,1163,-789,-431,1529,+1
1468,-833,280,1695,-1546,-916,548,293,227,-1919,+1
-794,548,486,2357,-693,90,1695,766,-919,-197,+1
-211,-513,1369,-2500,-538,757,-505,-1422,-78,-425,+1
-630,-515,300,-462,1074,615,851,-184,338,1085,+1
-206,-739,-499,759,2025,-392,-790,249,182,-755,+1
-929,-1037,-1342,-786,-424,-1433,851,-906,867,-102,+1
-683,1199,553,-29,-622,-992,1003,-93,425,983,+1
215,-2089,-20,-635,-614,1247,1259,1189,143,-886,+1
1022,-2324,-185,1248,-6,387,-651,-617,-1135,-196,+1
-1471,1290,439,0,-812,1301,934,-365,-78,-1703,+1
-803,-1143,436,1282,2545,492,1264,1030,1137,-1145,+1
-965,-158,1629,141,-2261,164,1099,318,883,297,+1
902,37,587,889,-1382,-477,-1355,-9,2362,647,+1
-626,965,-503,2124,20,125,111,-280,1055,-1160,+1
815,-1164,826,-1611,-512,1722,784,-1585,861,-1211,+1
1156,-948,1723,-957,574,-742,1548,406,1523,-489,+1
625,259,969,278,1067,-181,631,-1359,250,430,+1
960,332,1641,952,1141,100,-1317,-1982,-656,839,+1
-906,67,-275,-498,-1272,1643,1546,-604,1129,-1374,+1
207,470,888,-254,-607,2910,811,-345,-400,702,+1
212,-1532,1704,465,152,-344,-171,-1195,647,40,+1
-1432,768,-169,1819,339,1054,219,169,-831,-23,+1
-432,-1287,1069,-653,427,444,140,-354,-299,-1169,+1
-2736,575,-824,-191,1082,1049,53,1533,702,9,+1
-1132,-648,1279,-361,316,763,51,458,-253,367,+1
-659,966,-1372,861,-1920,-539,-220,225,1400,1475,+1
-1629,-619,-448,-896,792,-338,-2,-41,172,-63,+1
-517,-696,1846,513,9,-587,-1101,-861,31,-1449,+1
-74,859,497,-1981,130,379,-689,-1535,1715,-1086,+1
1133,894,1021,312,-589,215,-324,33,-239,-289,+1
558,244,370,431,-230,-721,-19,-446,1303,-136,+1
678,-240,98,545,625,1429,-642,-1819,231,-1092,+1
-833,591,838,1013,717,-231,296,400,676,127,+1
-975,-938,467,417,-147,-716,159,-311,-544,1521,+1
-448,-417,918,120,-598,1281,-38,707,-1723,-996,+1
-933,323,-290,-489,927,134,1175,-179,-30,-112,+1
-173,-671,509,-1456,158,-595,-405,-1983,-1924,1994,+1
-1699,-498,49,1182,595,245,127,-120,-770,-666,+1
-928,-897,156,-1921,-350,-1450,2542,700,465,-584,+1
1544,274,-7,-1383,1233,-665,903,-68,260,-770,+1
-945,903,1256,415,-917,1119,-396,666,2359,1506,+1
-1942,760,-444,448,330,229,1774,39,-246,435,+1
-46,-1238,1416,450,520,-65,116,14,-249,-886,+1
-50,-985,2791,-575,33,-991,-126,-309,1869,460,+1
-1407,-969,-451,565,887,694,-779,-1268,422,-105,+1
-184,1161,959,1290,187,2224,-6,17,-843,-846,+1
250,-425,1336,256,-875,580,393,436,866,1133,+1
-2227,593,-1023,2129,-538,1694,1834,-540,-716,584,+1
714,322,995,1138,-671,-1744,930,874,-427,41,+1
