x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
-318,452,-58,-70,201,809,-192,-306,1026,-113,-1
-433,-1707,-941,-359,-324,338,250,1282,577,199,-1
-485,-385,818,-609,-30,163,-1095,1019,-919,67,-1
-305,-219,-978,755,703,281,-111,-904,-952,-399,-1
-441,351,871,-224,-860,266,-601,736,-1515,-191,-1
1495,-647,-144,-312,-360,616,-2091,-748,-826,-862,-1
133,-859,560,322,408,-223,-2116,-1659,1072,-512,-1
-1289,-1554,-54,-1353,-537,810,-183,-296,648,760,-1
-1442,846,-1728,-1849,318,-263,-937,1181,-220,-502,-1
-874,586,1824,282,828,660,-497,-1457,2678,-1367,-1
-2307,-1122,-431,1423,-187,-1113,-792,-25,-1279,287,-1
684,950,1281,-1368,426,876,440,-723,552,-1037,-1
-39,-1031,-561,-1324,398,1168,1257,-1177,-230,22,-1
-545,-1381,526,-1085,-74,-577,1108,1438,-1367,-1319,-1
643,-691,1822,3158,-29,-893,75,900,-746,-148,-1
181,-484,267,-368,584,1871,-329,1837,-276,915,-1
-275,335,-1153,367,-792,-1026,-1004,135,-282,-1800,-1
-530,-2449,1679,1170,-242,-145,-114,-898,594,-98,-1
-1072,-1662,295,351,235,2605,-993,15,-445,-76,-1
-35,41,804,534,-1060,639,-1758,1179,-305,205,-1
-103,509,303,-132,-810,430,-957,-270,-1258,-1084,-1
747,-449,1598,-541,254,617,1120,1290,-1484,-1966,-1
778,213,1347,1634,-667,316,-1019,-931,398,68,-1
-973,-1889,4,-1240,1280,-976,468,166,-1451,595,-1
-1243,-280,-244,308,-1114,509,-1721,921,470,755,-1
1344,-781,1027,-661,1352,299,-212,-1650,2822,-174,-1
897,782,-1612,-1620,-985,1020,-68,758,-2226,-671,-1
-357,-388,775,337,738,303,2799,1391,-701,392,-1
36,1214,-194,1021,278,2468,134,420,-450,-158,-1
2375,-1313,-507,1085,699,1466,-1421,-1084,1565,-736,-1
-1769,582,2025,-434,218,-766,-1195,721,-1120,-1192,-1
-193,402,363,224,-1110,2234,1362,1331,-213,-230,-1
701,172,-958,579,1127,977,-59,-950,839,-1165,-1
768,-302,-1342,-358,-1988,802,386,-397,-734,-926,-1
-853,1682,-1730,-1001,383,1191,-361,782,-1489,-1886,-1
-2477,826,-167,-1115,41,-346,-166,606,240,-1821,-1
-952,-310,-1791,-560,824,-105,780,657,-353,539,-1
-475,-523,1254,-1387,6,-637,424,1529,1129,-1654,-1
1055,450,-1078,2189,2129,-144,-502,-899,1399,377,-1
1026,1213,-647,598,-396,1583,1279,1743,186,298,-1
-439,56,804,-1197,368,1329,-895,621,-1367,-701,-1
233,98,825,-70,462,992,352,-97,1626,739,-1
-73,190,402,963,190,546,-1456,-743,1416,-896,-1
556,-82,-2960,-739,206,1676,-218,-64,1246,-1686,-1
-272,1134,-1197,443,2381,-231,-1475,-499,97,404,-1
1813,-706,-635,760,92,185,15,-480,-34,-1607,-1
-854,-453,2923,-538,825,-288,-940,556,-709,578,-1
-88,-374,-635,-1097,-1579,1339,-162,-677,633,621,-1
-1055,937,-725,930,-39,-363,2632,-564,1911,-158,-1
-1324,426,658,1135,1822,13,-647,-1322,-905,1435,+1
801,120,-1064,-627,-194,-239,-1428,430,-292,1366,+1
-1796,-718,-1350,268,-1297,337,614,-757,446,1796,+1
386,1654,725,525,-684,-83,-110,1371,1030,1477,+1
702,1480,-2158,-5,1077,-383,612,-174,1044,-316,+1
-597,1624,594,-252,285,1048,174,-1460,909,-115,+1
219,-179,-427,730,711,-2012,-2737,545,410,1638,+1
-467,-75,337,-2527,-314,-1288,1464,-1167,-1814,-1440,+1
204,237,-1377,865,-294,-471,704,147,-198,78,+1
-386,2515,983,-1011,419,1144,683,1408,1098,651,+1
70,822,944,-1672,-1644,667,35,-47,589,-20,+1
2511,-47,-172,-186,-1314,426,-501,-158,-2359,132,+1
2036,1456,-201,11,1168,-1675,524,-768,962,-743,+1
1134,635,-1055,-973,-373,636,-867,-2104,161,583,+1
1019,-416,750,-1244,-1094,-168,-109,-729,1641,745,+1
-196,1882,-565,781,-2045,-2255,-734,-1463,-1291,631,+1
-445,-75,-1544,-1610,-711,-271,211,-637,-159,-53,+1
-224,1515,-445,-2412,-1240,1,-1347,1946,2,534,+1
-494,-341,-818,-13,-1886,-1206,70,-2088,1192,-156,+1
477,694,919,-621,-25,-676,-367,-788,-2002,-1958,+1
1814,1797,185,713,-180,1188,786,-1103,-719,-63,+1
2049,-882,2496,-2000,-884,1147,773,-174,-740,174,+1
599,967,-844,1627,-1173,-309,-786,-373,2465,467,+1
579,-573,1094,802,677,-1620,-536,525,-72,442,+1
218,988,340,-36,-1554,318,-976,1352,-175,72,+1
742,-250,-644,152,-510,-624,464,-54,408,-217,+1
1778,1811,-698,5,-156,-282,-732,-837,847,608,+1
1558,1595,767,-876,-505,620,-895,900,-501,-577,+1
-269,272,1078,-996,67,-450,164,-269,-1094,586,+1
60,930,204,134,-1627,-532,-399,-222,-454,1242,+1
-592,-479,1063,662,371,-1794,-270,-409,-356,205,+1
-1725,-147,284,1108,-697,-1131,-60,-3,-1956,-430,+1
686,376,839,-1201,225,-440,209,651,-814,2768,+1
-1648,957,1587,958,286,-27,-668,-1735,14,999,+1
653,734,-39,-300,-374,-1273,247,-548,-187,1057,+1
1326,463,-1028,-396,-1061,965,-973,288,119,737,+1
844,348,-340,-1333,-512,333,217,861,-111,-157,+1
1156,-124,-618,-22,-680,-2187,-1487,80,760,455,+1
3539,408,251,-1109,-1257,-1270,-1339,192,-61,1193,+1
-158,1098,491,1404,60,-2550,-1474,1416,-1229,-225,+1
1999,-67,-378,376,834,1111,-414,-328,-1147,1171,+1
1032,1375,-793,262,88,-1837,-2120,-860,2771,126,+1
652,-1173,253,-1131,-266,353,-474,-524,1786,796,+1
-927,1669,1087,1112,954,-12,762,-185,323,-412,+1
242,-335,1123,-50,414,-475,507,-138,1660,429,+1
837,-1417,-267,-533,-661,-943,183,-1338,599,2572,+1
520,2403,-2087,1804,359,1096,-434,428,-1458,2873,+1
448,1483,268,-857,-747,-480,119,116,436,571,+1
-1749,-145,-273,-1637,910,-219,-860,-2253,-996,1208,+1
-655,1112,-966,1876,1068,-1578,96,1127,-941,881,+1
606,1550,-1768,1879,-319,560,-300,48,-624,998,+1
