x0,x1,y
-983,-575,-1
-781,-312,-1
876,-966,-1
1222,-1656,-1
610,-1296,-1
-1312,94,-1
738,-1052,-1
-1160,-1273,-1
-14,-1234,-1
-825,268,-1
256,-526,-1
-1064,-1465,-1
-264,-161,-1
367,-656,-1
364,-1116,-1
-1791,703,-1
1182,-1195,-1
-968,-749,-1
-598,-1049,-1
-1710,-581,-1
-450,-453,-1
-493,-1467,-1
-755,-1580,-1
-1151,-135,-1
-2116,-1033,-1
-669,-1173,-1
9,-1151,-1
-608,-245,-1
449,-2735,-1
-905,275,-1
-4,-1243,-1
-2015,273,-1
-896,-609,-1
-18,-1351,-1
454,-876,-1
-1323,-88,-1
-791,-649,-1
-992,-432,-1
517,-694,-1
1606,-1460,-1
496,-567,-1
-378,-468,-1
-3498,-180,-1
-720,-376,-1
-1687,-55,-1
-2280,-1107,-1
-981,65,-1
-1042,245,-1
375,-533,-1
-839,-896,-1
392,-226,+1
-2246,1360,+1
-553,140,+1
-507,1495,+1
-385,192,+1
1734,370,+1
1999,-1202,+1
610,1997,+1
1040,11,+1
338,290,+1
-864,1802,+1
1155,-292,+1
-1141,1054,+1
-1661,1154,+1
-347,383,+1
-114,548,+1
179,982,+1
-331,425,+1
832,-146,+1
1099,1713,+1
-310,1863,+1
-1360,689,+1
1928,-844,+1
549,602,+1
-328,361,+1
837,268,+1
133,599,+1
1950,-414,+1
-214,13,+1
736,-113,+1
360,1386,+1
-196,142,+1
1963,-41,+1
652,1852,+1
219,508,+1
-840,573,+1
377,421,+1
1394,18,+1
-773,2085,+1
804,286,+1
44,348,+1
690,740,+1
-100,49,+1
1746,-756,+1
-1180,623,+1
-1642,913,+1
-152,2961,+1
-35,1094,+1
1138,1217,+1
857,544,+1
