x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
-869,270,-1249,-704,1012,-482,1264,811,-1271,-447,-1
-78,-58,-1142,752,1765,596,1526,1347,595,-378,-1
573,879,460,725,-706,1872,984,-643,-1379,1079,-1
-738,-173,-150,-750,1324,473,-1540,528,868,661,-1
-925,1837,-1060,-452,-2024,-1335,-495,-249,122,1126,-1
-1591,2326,166,-886,-1754,1245,1253,547,833,506,-1
1533,533,607,829,-611,-1002,619,1537,896,-1592,-1
-272,1023,-68,-910,-1792,-231,-688,-766,-672,2156,-1
-653,-851,671,-755,-1985,-1351,203,2204,61,-1820,-1
1186,1082,-39,-429,758,1255,754,526,-369,-323,-1
-1874,1419,87,-647,-1471,1490,2563,1469,-1326,344,-1
392,808,-702,127,1199,1002,-150,-1129,155,-1247,-1
416,-246,-2151,684,1693,-836,-613,1376,-1346,-783,-1
-298,1213,-533,699,-897,-24,14,853,576,-64,-1
451,905,444,-705,670,263,446,-916,1637,-2453,-1
1238,1356,-740,453,867,-418,-633,426,1365,1002,-1
-442,1434,811,-411,-1418,58,-187,30,1421,-128,-1
390,-560,559,2889,704,811,-779,-763,-2093,480,-1
574,-3,1026,-215,-1253,894,-5,319,-644,-1994,-1
321,2376,681,-841,-64,-706,-939,-1641,-1024,1653,-1
-2349,-486,-348,-783,648,335,-116,1157,1618,99,-1
-920,-124,-1559,746,1031,714,-1068,187,-823,2233,-1
1898,-121,480,296,125,1694,389,-993,-1090,1255,-1
616,-1103,-761,-229,-1054,-609,-891,1200,-1506,-1018,-1
405,1057,-1515,789,1621,-1459,-313,-701,-1435,415,-1
-220,-393,-1228,585,110,508,-1736,160,73,-1158,-1
-2840,933,1654,-1998,-523,-17,1462,-656,443,-27,-1
3061,626,1420,-227,614,210,-426,255,400,91,-1
-341,-783,-1272,-1056,646,1267,-202,-1092,-1015,-1161,-1
-550,537,-226,91,830,262,-1395,606,-232,-1209,-1
1974,1201,958,1231,-626,-173,221,-1176,-1598,88,-1
789,582,1248,575,560,1798,-328,-917,266,37,-1
306,1660,354,690,-1400,550,8,-905,1394,-921,-1
-2166,527,287,1551,-241,464,-839,455,1459,-208,-1
-303,-438,1410,1912,346,86,865,434,-1344,-703,-1
619,-999,3431,187,-797,283,-75,-380,-926,372,-1
13,-471,2338,1537,880,721,-850,-776,427,-108,-1
9,-176,44,1667,-2322,1368,640,689,80,-624,-1
55,481,567,103,177,12,-726,-141,502,2650,-1
467,-842,191,1225,1955,1087,-894,-603,44,511,-1
-567,-1180,-264,-437,1407,1971,-533,-825,-903,-523,-1
-25,-1146,567,-116,1123,-989,1819,2005,-1657,944,-1
474,1008,-856,-2080,-1220,-780,1583,566,1485,749,-1
-1975,30,573,360,813,-44,886,-1148,-310,-1669,-1
-3365,-308,91,-958,-106,-292,-842,-1109,-1337,955,-1
-2007,974,-2051,-1003,-1975,318,-44,2356,-444,1572,-1
-1134,2229,297,-166,-731,-584,49,66,-1858,256,-1
-645,-122,223,-589,1121,-158,489,404,-1546,-77,-1
1238,852,-1428,-1050,1178,886,569,1259,-1985,252,-1
1755,-322,1719,817,756,156,546,1614,-1615,-314,-1
308,-1132,-576,-259,235,-290,195,-1033,-640,955,+1
-1261,-1194,-482,-240,1781,-2168,-807,438,-320,404,+1
