x0,x1,y
-811,802,-1
-317,467,-1
-773,638,-1
-303,-41,-1
1125,1258,-1
561,491,-1
-283,902,-1
-1028,318,-1
155,893,-1
-1108,-357,-1
-883,812,-1
108,942,-1
227,1174,-1
-104,937,-1
-279,637,-1
-718,206,-1
-426,953,-1
71,73,-1
-149,456,-1
-860,925,-1
-1345,925,-1
-557,-162,-1
61,87,-1
154,250,-1
-212,122,-1
76,462,-1
-282,133,-1
1176,1864,-1
-927,-119,-1
-1469,224,-1
-2512,602,-1
294,2125,-1
-287,1415,-1
-1960,-365,-1
-329,963,-1
1000,315,-1
-485,1403,-1
-1354,1666,-1
677,1267,-1
-1821,124,-1
524,1422,-1
888,343,-1
-1754,1729,-1
-280,347,-1
-1261,611,-1
787,1508,-1
41,1260,-1
408,1572,-1
-537,-4,-1
79,1569,-1
-214,-328,+1
-1266,-1347,+1
280,85,+1
-34,-33,+1
-47,-1296,+1
607,57,+1
-1221,-918,+1
713,-1947,+1
-1192,-1380,+1
-1230,-1549,+1
498,-947,+1
1016,-643,+1
1532,-296,+1
-777,-861,+1
868,-734,+1
507,-1590,+1
684,-543,+1
1445,-426,+1
-776,-1124,+1
-1341,-448,+1
710,-1763,+1
-1808,-1426,+1
1005,-1093,+1
1873,-334,+1
563,-565,+1
-637,-575,+1
2025,-1104,+1
-366,-332,+1
-241,-1494,+1
378,-445,+1
-761,-1221,+1
1207,-1894,+1
887,-1752,+1
843,-527,+1
762,-109,+1
-550,-1064,+1
1275,-899,+1
2143,-453,+1
1820,-461,+1
581,-1269,+1
-844,-339,+1
3575,407,+1
223,-132,+1
545,-424,+1
426,-316,+1
-146,-186,+1
-84,-1237,+1
1156,-266,+1
-1519,-662,+1
-344,-373,+1
