x0,x1,x2,x3,y
-493,1128,1055,-1763,-1
-624,1079,1233,-423,-1
-569,2905,704,233,-1
-337,-527,667,-269,-1
178,-31,-45,278,-1
-1419,-1051,269,213,-1
499,663,731,-216,-1
-592,529,1048,-894,-1
-1263,611,780,584,-1
122,155,-301,-51,-1
-178,-573,595,178,-1
-351,429,1041,-716,-1
-380,420,576,-212,-1
-920,-221,728,-551,-1
1805,-72,1133,-863,-1
-1558,-666,625,-462,-1
1047,498,1378,664,-1
581,-721,446,-247,-1
-1470,1361,-788,-457,-1
-2274,596,1621,207,-1
-1200,291,-240,61,-1
650,1494,1198,-235,-1
-1510,2395,1795,331,-1
-995,777,21,-197,-1
224,-155,406,-1658,-1
-214,-274,876,161,-1
2170,128,2356,-1136,-1
996,-627,1991,-2308,-1
215,316,1514,-279,-1
-79,32,852,-1200,-1
1128,-214,1392,-1132,-1
-1942,-132,582,-435,-1
-487,1269,-72,-750,-1
-1534,270,139,-1920,-1
-994,471,519,-1757,-1
-506,625,1944,-974,-1
-1627,2024,191,-868,-1
1562,545,-539,-552,-1
-586,-455,416,335,-1
-902,-1274,205,517,-1
-622,-1769,104,-2064,-1
1620,53,422,-815,-1
-360,-86,702,-996,-1
2123,-422,1227,-1089,-1
-92,-97,-829,-827,-1
-2080,252,1357,1105,-1
-1528,608,751,-582,-1
2082,1136,2467,154,-1
736,1344,20,-589,-1
-903,1146,-103,762,+1
73,323,-160,1992,+1
-940,1200,85,629,+1
871,-1636,-736,765,+1
-1105,-1100,128,1065,+1
-318,219,233,1792,+1
2062,478,-493,-660,+1
112,1323,-319,806,+1
2644,-602,351,2009,+1
-1577,-2620,-241,1198,+1
126,64,-699,1988,+1
-97,83,-216,371,+1
-1073,-708,-574,516,+1
-919,2355,357,476,+1
2532,514,405,60,+1
-911,-694,-1397,1123,+1
-886,-636,-885,1056,+1
-121,475,-1545,-864,+1
-415,-946,-1115,1262,+1
35,65,429,185,+1
-53,-270,15,1570,+1
935,394,1480,951,+1
-1149,1293,-55,1210,+1
948,324,1012,301,+1
-685,364,-1410,-325,+1
-1114,149,-1166,467,+1
390,292,291,1258,+1
-640,-47,-1488,111,+1
-99,-995,-315,-378,+1
715,597,638,1335,+1
-1142,888,-595,-305,+1
847,-77,-1507,-25,+1
-89,-1517,176,812,+1
897,-1381,-1462,1646,+1
799,533,-82,-442,+1
1394,-521,1267,1461,+1
-49,327,-305,441,+1
1247,-566,-1840,306,+1
162,-379,-1088,703,+1
-590,259,-616,343,+1
1633,-1538,-2217,-74,+1
496,476,-1625,-369,+1
-371,-1100,-731,1370,+1
-333,711,-115,496,+1
-95,-514,-1297,442,+1
-933,643,581,828,+1
-562,144,-22,682,+1
-719,797,-992,-781,+1
1995,-704,670,694,+1
490,-366,889,1083,+1
413,674,296,1764,+1
