x0,x1,x2,x3,y
920,-239,-1241,783,-1
530,-485,315,1127,-1
743,-313,-910,-1162,-1
177,-1487,-467,449,-1
-684,-2356,-453,-343,-1
909,-655,-101,-701,-1
1848,-928,-1291,116,-1
-726,-620,-1135,-331,-1
-978,-722,-249,-302,-1
-523,1552,-716,-318,-1
135,-8,-566,-319,-1
454,-167,-1493,269,-1
389,47,-364,66,-1
-1615,1475,-2026,325,-1
1055,-403,-306,1964,-1
-175,89,-680,-1057,-1
-584,421,-952,-569,-1
301,888,-1800,433,-1
468,824,-272,1056,-1
269,808,-685,-1191,-1
1702,1010,-7,824,-1
-1,-1274,-519,1251,-1
465,805,-1734,15,-1
249,-1858,66,291,-1
1961,-31,127,-826,-1
775,26,-990,1818,-1
-148,595,-687,-12,-1
447,679,-403,1765,-1
-327,-130,-527,-281,-1
819,-130,-1464,575,-1
236,-2199,-270,-226,-1
924,-841,315,-493,-1
-13,1716,-936,454,-1
-908,-1797,-1816,615,-1
553,-1226,-360,-1136,-1
863,-152,-249,1324,-1
690,-1215,-701,908,-1
629,-550,144,812,-1
-1629,899,-1324,874,-1
-72,-708,-1936,-529,-1
-896,1760,-385,-395,-1
-2071,-1592,-1092,124,-1
-61,53,-1450,-767,-1
1008,-1606,-2141,2063,-1
2554,-845,122,-325,-1
-270,117,-1486,1215,-1
-429,-1436,-226,742,-1
-35,121,-50,1195,+1
1288,1281,1314,2317,+1
-104,864,84,-214,+1
-1124,633,680,-557,+1
-489,-922,-17,-712,+1
-570,-290,1802,-218,+1
1079,249,1272,-90,+1
1225,217,122,-1808,+1
411,-994,640,1317,+1
-271,-716,181,-666,+1
-953,391,1246,16,+1
1511,-101,1148,804,+1
752,502,1791,-150,+1
-593,1354,209,867,+1
1169,-182,-76,-2840,+1
632,633,1272,227,+1
-431,-159,319,-155,+1
932,-223,91,-655,+1
-560,-114,910,-785,+1
39,-1621,166,261,+1
812,520,1009,-1035,+1
-812,1195,201,-11,+1
-142,-423,123,-1534,+1
-604,957,-338,455,+1
207,-280,-153,-1650,+1
1829,-685,1264,-2375,+1
125,-174,551,1556,+1
313,991,2150,113,+1
-831,-320,-306,-672,+1
159,485,1064,1272,+1
1248,-383,1122,-1092,+1
48,-1577,1142,-1392,+1
-341,-1485,1535,560,+1
962,-1209,822,829,+1
-957,1360,-420,420,+1
-2267,-705,-440,-1102,+1
-1323,48,600,778,+1
361,-248,356,200,+1
-1148,-147,-427,-785,+1
440,-945,449,207,+1
-179,-501,511,-1925,+1
165,2034,-319,-1694,+1
-6,-790,361,2910,+1
-680,-387,137,-1302,+1
472,144,2163,-639,+1
-960,55,2275,-849,+1
-794,320,-234,-2414,+1
267,485,1765,336,+1
-1356,-145,-614,-201,+1
-217,-2426,1287,1333,+1
-230,502,1979,215,+1
276,-2175,624,-1296,+1
-110,72,1020,2279,+1
