x0,x1,y
-2098,1262,-1
-12,-1603,-1
-643,117,-1
-412,-398,-1
-154,1149,-1
75,1499,-1
-141,345,-1
-1546,1567,-1
-958,-1662,-1
-1589,621,-1
-1130,-1005,-1
317,-1580,-1
-277,-338,-1
-363,-249,-1
468,-1486,-1
-290,-246,-1
-376,549,-1
-1131,289,-1
-597,-1468,-1
390,-2852,-1
-615,2019,-1
116,-686,-1
111,958,-1
-242,478,-1
-940,-913,-1
-798,1172,-1
530,-1060,-1
-662,-1202,-1
53,-36,-1
338,-384,-1
246,-526,-1
-552,-661,-1
-450,73,-1
-1272,634,-1
388,-994,-1
173,-2220,-1
-126,476,-1
15,574,-1
-786,-1068,-1
307,632,-1
-445,1976,-1
-70,1246,-1
-811,889,-1
-109,1293,-1
281,961,-1
-483,177,-1
171,-222,-1
140,-162,-1
-641,984,-1
-385,-271,-1
-525,283,-1
271,604,+1
-1864,131,+1
500,837,+1
685,-146,+1
-1889,-2120,+1
10,671,+1
763,356,+1
162,427,+1
900,-794,+1
-2616,-66,+1
561,293,+1
-1158,-2421,+1
-1224,-2560,+1
1112,-1349,+1
783,1794,+1
2142,1,+1
273,691,+1
-2521,114,+1
225,1387,+1
1382,-544,+1
550,154,+1
1033,392,+1
1062,911,+1
747,638,+1
1600,681,+1
290,170,+1
623,88,+1
1402,320,+1
366,932,+1
1564,454,+1
-1674,709,+1
890,1591,+1
494,1371,+1
854,395,+1
606,478,+1
-32,2181,+1
1853,-762,+1
897,-141,+1
1060,-1307,+1
1401,-388,+1
1922,-711,+1
693,14,+1
-2036,1253,+1
971,513,+1
1165,43,+1
1806,-1355,+1
1218,894,+1
1852,-1086,+1
1553,-1677,+1
