x0,x1,x2,x3,x4,x5,x6,x7,y
-147,281,-146,694,-547,-302,-608,-1397,-1
418,452,-238,649,1312,874,-676,-661,-1
1470,-1266,-94,-683,-408,1142,-942,-753,-1
-467,636,1274,-783,625,1032,-2857,-2430,-1
-38,900,1396,-67,504,-136,408,-424,-1
2816,251,-1192,-325,-1681,1546,35,176,-1
-592,524,661,-308,-812,-47,-147,-556,-1
2597,-592,1197,-393,-1742,1690,363,-1121,-1
-885,-778,4,-1175,-612,756,-5,-1030,-1
462,-277,-1063,726,-415,-217,512,-1947,-1
-476,52,1082,-852,255,-751,-1524,-797,-1
-635,-412,340,-1794,-603,782,-568,-1056,-1
326,-1593,1441,512,-472,608,553,-737,-1
3018,-1459,210,1357,-249,-529,1767,1577,-1
1042,1171,699,746,-428,1082,2787,225,-1
-605,-626,-482,-439,2183,489,775,637,-1
1148,1050,264,-515,930,439,314,-1407,-1
732,926,-1232,-1455,-989,1886,1554,-284,-1
-225,688,1695,252,758,502,-62,-850,-1
-904,891,2455,656,92,1202,1237,226,-1
708,-572,1816,-98,596,233,-1317,579,-1
1071,-543,47,-901,1401,-424,129,176,-1
711,582,1263,-1110,794,-679,-1503,147,-1
673,85,512,-79,-1327,-718,231,-1395,-1
1232,-668,-1244,-437,-514,-55,-231,-250,-1
245,488,1593,-631,1895,481,617,998,-1
-437,-440,-518,-53,-82,-615,1730,-581,-1
-994,-2147,723,-1423,891,306,777,-1047,-1
-9,500,1906,-2031,-1641,661,-1965,-1981,-1
579,498,1478,996,-84,-1803,-404,-541,-1
450,943,-465,-1575,-839,739,811,818,-1
2195,743,-1157,-346,-2533,1415,763,-478,-1
1539,-882,2315,-584,970,1192,1,-2402,-1
1048,-66,-27,-1632,329,232,-123,-540,-1
411,-223,483,-78,1406,-557,-2126,-269,-1
-1056,1168,267,607,382,565,1397,-947,-1
589,-250,536,-24,-44,-519,611,577,-1
2672,-110,1230,680,-923,698,1594,96,-1
-1168,-1000,2017,1056,1219,-477,-121,-670,-1
508,41,-1082,-1280,2315,1334,-820,1170,-1
-303,451,-2402,-207,175,1976,-977,-1322,-1
511,-1102,2128,750,-903,-1022,377,35,-1
415,799,-777,-1269,1300,1182,-1810,-425,-1
-435,906,-95,-1093,817,120,207,171,-1
258,906,431,-342,-152,2543,-2058,268,-1
405,-843,-128,1680,2473,1278,-1171,-251,-1
-303,-734,-1510,-782,208,1529,281,-1194,-1
666,766,1622,200,202,8,-201,115,-1
-291,545,777,-77,520,-427,-123,-334,-1
1105,822,1747,653,-720,-153,-1276,-211,-1
-1695,-848,692,195,1173,761,322,1358,+1
-123,691,138,587,737,120,-1680,1707,+1
-202,-2372,-45,-228,-1408,1625,276,-424,+1
-634,-639,430,-2369,468,60,2362,2817,+1
-23,1307,-889,174,-194,-344,-1117,-105,+1
129,359,-1226,411,527,1153,-1967,614,+1
228,482,-204,-324,255,344,-1038,1809,+1
-2410,-554,-30,899,380,-512,-1585,817,+1
-330,849,-744,-232,-935,1919,-3,962,+1
-1126,1013,769,248,-475,730,-1100,-257,+1
-309,-372,146,44,172,-1298,-113,-503,+1
119,590,-476,411,853,36,-111,2136,+1
63,-680,-492,1624,529,206,1234,-501,+1
2256,2523,-261,726,-1466,154,-1767,1854,+1
-575,-1263,-355,-191,-1703,1121,62,871,+1
382,13,-488,-14,16,630,-1515,1367,+1
-983,128,-1998,999,-219,155,425,1584,+1
278,424,-606,-655,341,-45,-1442,1045,+1
-1236,-474,-1727,-117,128,-559,-1202,499,+1
-371,622,-83,-846,-1032,411,954,1121,+1
721,179,-853,-500,-175,-426,992,3262,+1
-209,-1686,1534,307,-918,-1447,-1694,214,+1
-636,-232,970,-1513,-1021,-273,-56,191,+1
1058,214,-523,-1204,459,-317,-149,1846,+1
-772,-1167,-1150,-495,-873,188,26,-538,+1
-482,-403,-511,-1544,901,1466,-704,954,+1
-1291,379,-864,1232,495,942,-552,196,+1
35,-304,-674,632,-1225,-500,-316,-1817,+1
-474,168,-908,1967,-810,-739,931,269,+1
-1399,-437,-1106,1010,-992,-685,-569,1666,+1
-310,-565,-1320,1614,183,-162,-2261,-535,+1
154,645,-190,-458,-1256,-2362,-1509,-881,+1
-4354,-435,371,1275,145,848,1253,-84,+1
-1040,2696,41,60,-307,1408,-384,749,+1
1093,-376,-455,381,556,-1102,815,845,+1
-280,1420,1349,877,598,-893,-122,593,+1
-53,368,-794,9,839,338,-720,10,+1
-2651,216,831,-256,1768,935,175,587,+1
821,-1717,502,-400,-1221,-1413,287,-355,+1
1406,375,-433,1802,-258,2353,-1867,1605,+1
-481,293,-1814,263,-1691,493,2644,-257,+1
-1258,-1405,-2369,397,58,-806,-598,-341,+1
-626,176,-1024,739,-1304,-1590,-1063,335,+1
-719,-872,-868,-739,419,-441,-314,536,+1
-424,-1000,-1126,887,104,-548,1735,398,+1
-1564,-901,202,925,-86,-1231,1329,-1014,+1
1071,-1298,-764,-170,292,172,-253,509,+1
-2258,1312,-9,-806,-740,-2236,1664,-159,+1
-24,-496,162,132,-909,-844,-1416,-1091,+1
185,-924,-381,998,345,801,777,198,+1
