x0,x1,x2,x3,y
-335,-954,-148,199,-1
367,1727,752,201,-1
-1646,-1106,190,-563,-1
-361,-289,957,344,-1
1299,-730,-51,319,-1
877,307,201,-161,-1
754,818,794,18,-1
-109,847,22,-1368,-1
-476,701,1226,-15,-1
-598,-1401,556,-233,-1
625,-1233,102,-103,-1
720,-1216,26,-1123,-1
-227,-1120,-907,-1474,-1
-965,860,626,-1033,-1
29,-310,-309,-69,-1
955,-962,562,184,-1
-783,-2074,338,444,-1
-1008,-575,-247,-317,-1
-794,-2080,1291,1143,-1
452,216,2039,-35,-1
-96,282,131,-1859,-1
-208,599,1067,699,-1
-468,153,752,-545,-1
711,-1682,602,61,-1
-1518,-1996,1722,-1125,-1
-77,707,-488,-2388,-1
1066,-1386,-1123,-241,-1
1761,-1008,-862,116,-1
171,-720,1531,-485,-1
-3,-1147,-783,-2015,-1
-759,-615,567,-1116,-1
191,62,100,253,-1
767,-2160,2467,563,-1
1781,-1303,-102,-14,-1
1489,1061,851,-91,-1
1207,284,1540,1099,-1
888,1015,434,-716,-1
-2423,511,353,-1749,-1
1969,-1051,822,-371,-1
1504,-1974,461,275,-1
611,1005,787,-401,-1
588,-739,1656,-1318,-1
-1569,131,1290,455,-1
-48,-264,778,756,-1
-2669,-695,1068,-685,-1
262,-550,928,-558,-1
-386,527,883,-1005,-1
-646,827,86,-1895,-1
594,-17,-760,-977,-1
883,1066,965,-850,-1
1700,159,-1616,-601,+1
-1095,329,331,28,+1
-1833,1158,-435,-12,+1
999,1372,-964,1062,+1
25,2196,-954,-59,+1
-455,1430,-97,1262,+1
-19,202,-1271,-156,+1
649,63,-557,264,+1
1396,-538,-185,990,+1
150,-698,944,2764,+1
-283,170,4,79,+1
-729,267,-1242,-1060,+1
-813,-1252,-1560,-575,+1
1378,154,-1958,-251,+1
-2939,-107,421,-313,+1
123,1260,-823,-74,+1
-44,25,-1208,158,+1
-2334,1942,-3059,-613,+1
-108,-10,-205,1348,+1
-1354,120,-249,1718,+1
-426,-183,-1510,-1119,+1
890,182,-1452,-977,+1
-423,430,-521,-32,+1
-44,-62,-1213,265,+1
-797,-252,36,-31,+1
1121,953,-2794,1134,+1
-1503,-501,-1290,87,+1
-659,-865,-1535,-624,+1
-2064,856,-335,450,+1
-360,-479,-514,348,+1
950,-600,-1171,-351,+1
-1211,1067,-1042,-174,+1
-941,-462,-1075,-1257,+1
81,1676,-53,740,+1
1063,-303,-174,775,+1
-692,-870,-741,2492,+1
586,379,-387,1054,+1
15,-1489,1166,2802,+1
-155,967,394,148,+1
-631,1619,-833,-1316,+1
-1550,176,226,251,+1
-383,1789,-138,-323,+1
-3260,900,-1998,94,+1
-264,491,932,2181,+1
1526,-361,-1203,524,+1
233,-1088,-2176,1521,+1
-43,729,-434,-254,+1
-23,-1109,-1206,-743,+1
983,552,-1664,-905,+1
-798,166,-983,200,+1
