x0,x1,x2,x3,y
-1556,232,862,-41,-1
-1874,-467,-71,845,-1
2638,-258,1108,-410,-1
-646,-1106,784,-720,-1
-3038,240,689,-157,-1
410,-1313,-2498,-1106,-1
-646,-757,40,2303,-1
-468,718,-451,-1353,-1
-1764,180,-819,-367,-1
691,799,-102,-1845,-1
-316,-390,-1461,-652,-1
109,-1153,-628,362,-1
1508,-1176,676,-17,-1
-605,61,-242,112,-1
21,-483,1406,-758,-1
-422,-817,1703,-274,-1
-1051,-797,-250,-777,-1
781,-684,568,-256,-1
-232,-71,325,-1191,-1
638,-812,153,116,-1
-2129,691,-1836,-1119,-1
597,-996,123,811,-1
11,-1008,-451,-1150,-1
-1093,-1089,-253,555,-1
-17,-697,837,-448,-1
-2868,2010,594,-2264,-1
556,-948,-446,258,-1
-1118,-52,-1056,-276,-1
312,-241,908,210,-1
181,-754,31,173,-1
588,-195,268,434,-1
-819,-1143,242,-1375,-1
703,-1065,865,1171,-1
604,-303,430,-1066,-1
602,-1203,445,-561,-1
486,-1738,-255,-718,-1
-2018,212,260,-1437,-1
439,169,293,-903,-1
-844,19,-513,431,-1
-1122,416,1608,1547,-1
-1777,-2565,-466,137,-1
-1849,638,2015,-423,-1
386,497,847,-1052,-1
-1380,478,219,864,-1
-302,-61,271,-15,-1
-327,-1123,-468,-22,-1
807,-1181,1066,1440,-1
-910,230,812,-1651,-1
-235,-1013,-433,-271,-1
-1123,683,-570,-2075,-1
947,933,-25,1903,+1
-117,-50,-1661,360,+1
1793,780,851,1350,+1
2072,1057,493,1320,+1
540,720,-119,-970,+1
961,880,1106,834,+1
956,291,829,1504,+1
-1184,1205,690,646,+1
-102,-328,-1713,1824,+1
1471,216,-829,831,+1
223,1892,-1472,-1180,+1
145,847,-477,-1374,+1
599,-91,393,1091,+1
722,-254,-788,-413,+1
1523,491,-69,1115,+1
1128,-1031,-2924,-312,+1
-286,512,-564,376,+1
-942,473,-1731,-385,+1
-1876,2248,603,1006,+1
-1368,2695,-1707,-1047,+1
-250,449,198,380,+1
-545,1359,-165,1993,+1
2211,1476,1470,-23,+1
598,1096,-115,-925,+1
831,1466,1959,377,+1
366,597,575,107,+1
909,504,-1097,371,+1
1687,1050,526,-871,+1
218,1837,-645,-222,+1
1098,184,-310,1482,+1
618,1519,-1805,-204,+1
1716,-339,-13,1285,+1
-1242,1458,-682,-1198,+1
1503,-163,-325,-77,+1
-140,565,377,250,+1
647,-457,-198,1729,+1
-903,115,41,1520,+1
102,1164,98,1860,+1
-379,933,-266,491,+1
414,464,-967,1578,+1
-158,504,-1092,1273,+1
2127,-82,-1718,83,+1
1686,641,-388,-67,+1
-542,610,-654,1287,+1
-1036,653,100,972,+1
12,175,-1265,-719,+1
-1135,833,-217,797,+1
409,715,1016,608,+1
3032,628,-1419,2368,+1
1104,-397,-1078,-811,+1
